id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430456,2023-11-09,Thunderbird 15 builds unable to select multiple folders Build 115.4.2 (Windows x64 version) installed today and I found I was no longer able to select multiple ,❓;,👽;other,❓;,❓;,❓;
1430458,2023-11-09,How Can I install the version previous to 115? I am not a fan of the constant evolution of software (see below).  Vers. 115 requires me to spend time and effort,❓;,🛠;download-and-install,❓;,❓;,❓;
1430461,2023-11-09,"Suddenly outgoing email stopped working I've been using Thunderbird for many years with no problem. I'm now on v. 115.4.2 (64-bit). Suddenly, I can no longer se",❓;,👽;other,💌;twc,❓;,❓;
1430463,2023-11-09,Thunderbird not syncing to IMAP server I often move emails in Thunderbird to various folders. However this movement is not reflected in the IMAP server unless I,❓;,👽;other,❓;,❓;,❓;
1430464,2023-11-09,Missing 'On My Computer' Calendars I've just upgraded from TB 91 to TB 115 and unfortunately all my 'local' calendars are missing and I cannot add them back eit,❓;,📅;calendar,❓;,❓;,❓;
1430465,2023-11-09,Recovery of my thunderbird account The day about one month ago my account in Thunderbird stopped. Since the day my account of Thunderbird has never worked. My d,❓;,👽;other,❓;,❓;,❓;
1430466,2023-11-09,"Cannot send email (or CC) to myself from Thunderbird Maybe a week ago TB stopped letting me cc to myself, something I have always done in the past.  Either at t",❓;,👽;other,💌;Outlook,❓;,❓;
1430467,2023-11-09,"Thunderbird  is identifying all mail from the New York Times as Spam All messages I receive from ""nytdirect@nytimes.com"" are being identified as spam. I have ad",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430468,2023-11-09,"fails to download all messages new mail is not being downloaded for only One account press check mail, says account being processed  a bit later I see Downloadi",🐧;Debian,👽;other,📮;Gmail,❓;,❓;
1430471,2023-11-09,Using message filter to forward as attachment I have a persistent spammer who's sent me the same email approaching 300 times so far and has done so for weeks. I,❓;,👽;other,❓;,❓;,❓;
1430472,2023-11-09,"Need compact density View for folder tree WHILE using spacious Default density View for message list & content With Thunderbird 115.4.2., the program no longer ",🪟;Windows 10,🔩;customize,❓;,❓;,🪛;userChrome
1430476,2023-11-09,"Can't delete messages Hey, I have tried the fixes on this page to no avail. https://support.mozilla.org/en-US/kb/cannot-delete-messages I think it may have been",🪟;Windows 10,🚧;fix-problems,❓;,🇩;Defender,❓;
1430478,2023-11-09,"Problem with thunderbird ( crashes/freezes several times a day) Hello, Unfortunately after last updating to supernova Thunderbird very often freezes/crashes (se",🪟;Windows 11,🚧;fix-problems,❓;,❓;,❓;
1430480,2023-11-09,Mancata ricezione di posta su thunderbird Come fare quando non si riceve più posta elettronica su thinderbird ,❓;,🚧;fix-problems,❓;,❓;,❓;
1430482,2023-11-09,"Deleting thunderbird account and everything I want to delete my thunderbird account, all of the data which i shared with mozilla and everything migrated with it",❓;,👽;other,❓;,❓;,❓;
1430484,2023-11-09,"email all of the sudden all messages are downloaded and immediately disappear. Also all folders appear empty. I cannot access anything I have saved, neither can",❓;,🛠;download-and-install,❓;,❓;,❓;
1430486,2023-11-09,"mancata ricezione posta in entrata Non ricevo messaggi in entrata su thinderbird di un indirizzo di posta istituzionale. L' errore che mi da è il seguente: ""E' ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430487,2023-11-09,Eventos del calendario han desaparecido en Thunderbird 115 Hola a la comunidad. Estoy preocupado con la actualización de Thunderbird y un problema que ha surgid,🐧;Debian,🛠;download-and-install,❓;,❓;,❓;
1430488,2023-11-09,"115.4.2 Segnalo che la versione in oggetto, almeno su Mac, non mostra la cartella ""Posta in arrivo"". Ho dovuto fare un downgrade alla 115.4.1. MacBook Pro 2017,",🍎;Ventura,👽;other,❓;,❓;,❓;
1430494,2023-11-09,mail folder synchronization My friend has been using Thunderbird for a long time. Recently I installed her new PC and restored her account profile using the pro,❓;,👽;other,❓;,❓;,❓;
1430501,2023-11-09,new e mails being missed Recent changes to #Thunderbird software are causing replies to my emails being attached to previous emails of the same thread and are n,❓;,👽;other,❓;,❓;,❓;
1430505,2023-11-09,Kolumny w panelu z listą wiadomości Po zainstalowaniu aktualizacji poczty Thunderbird do wersji 115.4.2 (64 bity) nie mogę odnaleźć przycisku wyboru kolumn w pa,❓;,🔩;customize,❓;,❓;,❓;
1430506,2023-11-09,Thunderbird Contact Categories '''When are you going to add Categories to Contacts? ''' It is the only feature holding me back. I use outlook for Windows and I ,❓;,🔩;customize,💌;outlook,❓;,❓;
1430508,2023-11-09,Vi kan ikke komme ind og se mail eller sende Vi kan ikke komme ind og se mail eller sende mail. ,❓;,👽;other,❓;,❓;,❓;
1430510,2023-11-09,Format email messages In my Thunderbird email messages sometimes appear not readable emails. Something similar to html tekst. Please help me to solve the proble,❓;,👽;other,❓;,❓;,❓;
1430513,2023-11-09,"list of emails window ""jumping"" when deleting an email Since the last update (115.4.2 (64-bit)) I frequently get this very annoying behavior: I delete an email ",❓;,🚧;fix-problems,❓;,❓;,❓;
