id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1426915,2023-10-10,"Since new update thunderbird keeps contacting office 265, how do you make that stop every time i open a different email in thunderbird since latest update it wa",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,💌;office365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-10-09 18:41:53 -0700
1426917,2023-10-10,Thunderbird Had my Thunderbird email on my laptop (LT). It goes back to 3/24/2022.  -  LT crashed Sept 18 2003. -  Hardware issues went to DELL for repairs   - ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-09 19:20:40 -0700
1426922,2023-10-10,How do I get back to the pre version 115.3.1 look and feel of thunderbird? How do I get back to the pre version 115.3.1 look and feel of Thunderbird? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;tb115revert;,2023-10-09 20:28:04 -0700
1426924,2023-10-10,Email not working since update yesterday Since my Thunderbird email account was updated yesterday I have been unable to send or receive emails. The message that,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-09 21:16:57 -0700
1426926,2023-10-10,"why does it take (4) four hours to download my emails from gmail, and if I interrupt, they are blank. (win10) if I click on an email before all emails are downl",🪟;win10;os:win10,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-09 21:54:50 -0700
1426929,2023-10-10,"Parsing replies from email threads I am looking for a way to strip off all previous conversations for all incoming emails.  In other words, I want only the repl",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-09 22:26:35 -0700
1426931,2023-10-10,"Problem z grupowaniem folderu wysłane Witam, po aktualizacji do wersji 115.3.1 program thunderbird nie pogrupował mi folderów ""Wysłane"" z różnych kont. Folder """,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-09 23:30:20 -0700
1426932,2023-10-10,New Message Indicators Don't Propagate Correctly When Expanding Folder View I have a mail folder structure with many parent folders that goes 5-6 layers deep in,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-09 23:36:04 -0700
1426934,2023-10-10,Pressing <Control> <B> to toggle BOLD On/Off  moves the cursor from the current position to the beginning of the line My Thunderbird was recently updated from t,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-10 00:16:39 -0700
1426935,2023-10-10,"Deaktivace účtu Dobrý den,  poprávám funkcionalitu, která v TB imho není. Dosud mi to nevadilo, ale s příchodem nové verze ano.  Mám účet, který je neaktivní. N",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-10 00:31:03 -0700
