id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1429727,2023-11-02,Display of number of emails in folder In older versions of TB there was a display of how many emails were in the folder you were looking at. It is no longer the,❓;,👽;other,❓;,❓;,❓;
1429728,2023-11-02,"115 seems much more sluggish overall than previous versions Just about everything seems slower with 115 from sorting a large column, loading emails at startup, ",❓;,🚧;fix-problems,❓;,❓;,❓;
1429730,2023-11-02,"Open in Conversation not an option I frequently use ""conversation"" mode to look back and where I'm at on a work project. 115 changed where I select that....ok I",❓;,👽;other,❓;,❓;,❓;
1429733,2023-11-02,"Manually Sorting Email Accounts I have really enjoyed the new release (115.4.1) interface, but I have a problem because my Add-On/Extension to manually sort my ",❓;,🔩;customize,❓;,❓;,❓;
1429734,2023-11-02,"Message count New update is 115.4.1 for 32-bit, but my computer is 64-bit. It no longer shows the read and unread message count. How do I fix it? ",❓;,👽;other,❓;,❓;,❓;
1429735,2023-11-02,forgot password forgot my password how to reset it... ,❓;,🚧;fix-problems,❓;,🇪;eset,❓;
1429742,2023-11-02,alway show 2 unread why does my inbox always show 2 or1  unread even though its empty. the email send button icon is not available any more in the library. than,❓;,👽;other,❓;,❓;,❓;
1429745,2023-11-02,"Get selected messages i used to work with thunderbird 102 this way: ""get messages for all accounts""(downloading headers) > then selected some messages in one ac",🐧;Linux,🔩;customize,❓;,❓;,❓;
1429746,2023-11-02,"Tree View (lines) Threading in Conversations Hi,  With the new version 115, the tree view of threading in lines has disappeared, and with large conversations, i",❓;,👽;other,❓;,❓;,❓;
1429750,2023-11-02,"Mailing lists not working as described in help Hello, I'd like to ask if I'm doing something wrong or if it's a bug.  Running latest (115) version of Thunderbir",❓;,👽;other,❓;,❓;,❓;
1429751,2023-11-02,"Egress email not listing on Thunderbird I receive emails through egress, I have been for almost 10 years. I do not expect to open them on Thunderbird, but I nee",🪟;Windows 10,👽;other,💌;Outlook,❓;,❓;
1429752,2023-11-02,Thunderbird 115.4.1 - Macbook Pro Reply to list has disappeared from the right click popup and is greyed out on the message drop down on the task bar. I have ch,❓;,👽;other,❓;,❓;,❓;
1429753,2023-11-02,"Некорректное отображение темы сообщения при наличие участников в копии Добрый день. Прошу устранить ошибку в отображении темы сообщения, которая возникает когда",❓;,👽;other,📮;gmail,❓;,❓;
