id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1417419,2023-07-04,"Empty Thunderbird Window I started Thunderbird (version 102.12.0 64-bit) on my PC tonight (Windows 11 Pro 22H2). What I see is an empty window. Well, not entire",🪟;Windows 11;os:win11,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-03 17:48:34 -0700
1417421,2023-07-04,Default Settings for New Accounts? Is there a way to specify default settings for newly created accounts? Or is it necessary to change the settings for each new,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-07-03 19:03:41 -0700
1417425,2023-07-04,"reset password I cannot reset my Thunderbird password  T/ bird froze last week. ...........My desk top is  windows 10 , lap top is windows 11 and samsung mob. T",🪟;windows 10;os:win10,👽;other;t:other,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,other;,2023-07-03 21:19:46 -0700
1417428,2023-07-04,Trying to add Google CardDAV directory of contact fails validation I tried to add as remote address book in Thunderbird a google account using CardDAV and provi,🐧;Ubuntu;os:linux,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-03 22:42:02 -0700
1417433,2023-07-04,accesso thunderbird negato All'apertura di Thunderbird l'accesso mi viene negato perchè l'accesso al server imaps.aruba.it con il mio nome utente non riesce. L',❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-04 01:06:52 -0700
1417435,2023-07-04,"l'app non funziona Buongiorno, da questa mattina Mozilla Thunderbird non ci permette di ricevere e-mail, continua ad apparire l'avviso: ""Accesso al server imaps",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-07-04 02:06:39 -0700
1417439,2023-07-04,An email account I delete comes back again Hi. I have an old email account in Thunderbird that I no longer use. It is not my default account. I go to Tools / Ac,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-04 02:51:30 -0700
1417440,2023-07-04,"MANCATO ACCESSO SERVER SALVE, NON RIESCO AD ENTRARE NELLA MIA MAIL IN QUANTOI MI VIENE CHIESTO DI INSERIRE LA PASSWORD E POI MI APPARE UNA SCRITTA CON RIPROVA/A",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-04 03:10:44 -0700
1417441,2023-07-04,Dawn Earle I downloaded Thunderbird on the recommendation of a friend.  I already had a firefox account but the name was automatically put in Thunderbird with a,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-04 04:24:36 -0700
1417445,2023-07-04,Android olá.. existe alguma versão do Thunderbird para Android? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-07-04 04:59:06 -0700
1417446,2023-07-04,Google calendar events I'm subscribed to a google calendar.  I can view the calendar using Thunderbird or using a web browser. When I add an event from Thunderb,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-07-04 05:18:19 -0700
