id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422964,2023-09-04,"Email password work, but under saved passwords its the wrong one. If one wants to save your passwords TB is good for that. However I noticed the saved passwords",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-09-03 18:00:52 -0700
1422965,2023-09-04,Can't receive email I can't receive emails on my Surface Pro but I have no issues on my PC. ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-03 18:22:27 -0700
1422970,2023-09-04,"update to 115 Supernova is empty page with menu and taskbar.  Could not see folders, nor address book, nor inbox messages for 5 accounts I was running TB 102.15",🪟;windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-09-03 19:41:14 -0700
1422977,2023-09-04,Threads How can I disable the use of threads? It is driving me crazy. I want to have my mail in pure chronological order. ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-03 23:52:18 -0700
1422981,2023-09-04,"Instructions on moving Thunderbird Filters does not work for me, I installed Thunderbird on one of my PCs some time ago, and defined a number of filters to move",🪟;Windows 7;os:win7,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-09-04 02:17:14 -0700
1422983,2023-09-04,"Impostazione predefinita partecipanti evento in calendario Buongiorno, Quando si crea un nuovo evento in calendario e si invitano dei partecipanti il primo camp",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-09-04 02:25:17 -0700
1422984,2023-09-04,"Archive shortcut I would like to assign the Backspace key to the Archive function, much like the Del key is assigned to deleting a message. How can I do that? I",❓;;os:unknown,🔩;customize;t:customize,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-04 02:35:22 -0700
1422986,2023-09-04,Cannot see event description when attendee list is large I cannot see the description for a lot of the events in my calendar when there are large attendee lists,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-09-04 03:34:29 -0700
1422987,2023-09-04,Some email summaries unreadable in dark mode - MacOS The summaries of some emails are not readable (see attached image) in dark mode/system mode (where system i,🐧;linux;os:linux,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-04 03:58:23 -0700
1422989,2023-09-04,"Thunderbird choose between pdf preview and open it externally I like to use the pdf preview feature but, from time to time, I need to open the pdf externally, a",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-04 04:26:31 -0700
