id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1431379,2023-11-19,"custom colours do not hold When the new version of Thunderbird came out, the custom colours would no longer hold.  How do I make them stick? ",❓;,🔩;customize,❓;,❓;,❓;
1431381,2023-11-19,Thunder bird 115.4.3 not reporting correct number of unread emails. Thunderbird 115.4.3 is not reporting the correct number of unread emails. Sometimes it says ,❓;,🔩;customize,❓;,❓;,❓;
1431382,2023-11-19,folder settings what setting do I use to have the list of sub-folders display when the folder is selected instead of having it display when ever the cursor happ,❓;,🚧;fix-problems,❓;,❓;,❓;
1431384,2023-11-19,Moving Thunderbird to New PC The hard drive on my PC running Windows 10 crashed and I have a new one running Windows 11.  I used Thunderbird on the old PC and a,🪟;Windows 10,🛠;download-and-install,💌;verizon,❓;,❓;
1431391,2023-11-19,"How to select ""Rich text"" In the German article ""News in Thunderbird Version 102"" is stated that I can get a colored picture when selecting ""Rich Text"". I find ",❓;,👽;other,❓;,❓;,❓;
1431392,2023-11-19,"Thunderbird: Where is the new ""Import/Export"" selection? In the new Thunderbird (why was the phantastic ""old""-one being changed ?????) there is a ""Import and Ex",❓;,👽;other,❓;,❓;,❓;
1431393,2023-11-19,Problems with pulseaudio Since years I've a reliable running configuration (Ubuntu 22.04 LTS up to date). I#m using MPD in user mode to listen radio streams. Si,🐧;Ubuntu,👽;other,❓;,❓;,❓;
1431394,2023-11-19,Thunderbid: How to copy an adress book ? How can I store an adress book on an USB stick to move it to another PC? When selcting Help - Tools - Export  I get a p,❓;,👽;other,❓;,❓;,❓;
1431398,2023-11-19,"aggiungere yandex Thunderbird Ciao, ho aggiunto account yandex al mio Thunderbird. Fatto tutto ok ma ho sbagliato verifica. Ora non riesco a inserire yandex per",❓;,👽;other,❓;,❓;,❓;
1431401,2023-11-19,deleted a folder i have deleted a folder my mistake how do i get it back ,❓;,👽;other,❓;,❓;,❓;
1431402,2023-11-19,Unable to create an email account with my email address I am trying to set up an email with my walshnet@verizon.net which is hosted by AOL and I am having a pro,❓;,🛠;download-and-install,💌;verizon,❓;,❓;
1431408,2023-11-19,How to use a filter on subject 'contains' part of a word ie not whole word I'm trying to filter out junk phishing emails from the Temu company. Every email come,❓;,👽;other,❓;,❓;,❓;
1431410,2023-11-19,"new account in windows i made a new,local  windows 11 account coz  there were some problems with windows in the current account.  how can i transfer all -settin",🪟;windows 11,🛠;download-and-install,❓;,❓;,❓;
1431418,2023-11-19,"Viestiä (reply saamaani viestiin) lähettäessä ""Lähetetyt"" katosi vasemman ylälaidan kansiovalikosta. Valikossa ylimpänä on nyt ""Roskakori"". Lähetetyt-kansio (aj",❓;,🔩;customize,❓;,❓;,❓;
1431424,2023-11-19,Emails to Trash instead of Inbox My son's email address has been in my Address Book for years with no problems.  Recently his emails have been going to Trash.  ,❓;,👽;other,❓;,❓;,❓;
1431426,2023-11-19,"Hei, ongelma selvisi, ""Lähetetyt"" kansio löytyi! Tilanne on ok. yt Antti Niittylä Kansio-ongelma (1-2 h sitten) ohi. - AN ",❓;,🔩;customize,❓;,❓;,❓;
1431428,2023-11-19,"Unread messages are automatically marked as read upon download I have two mail accounts on Thunderbird.  When I download messages to one account, the messages a",❓;,🚧;fix-problems,❓;,🇧;BitDefender,❓;
1431433,2023-11-19,"Thunderbird stopped working As of the morning of Nov 16th, my Thunderbird has stopped getting emails for all of my accounts. The same for my wife's computer. Wa",❓;,👽;other,❓;,❓;,❓;
1431434,2023-11-19,"email list stopped working I have a client that sends a weekly newsletter using a list called news, it work for a long time.  now he gets a error   news <> is n",❓;,👽;other,❓;,🇪;eset,❓;
1431435,2023-11-19,"Email threads My emails are threading up, even ones that have nothing to do with each other. I've tried 'collapsing threads' in the 'view' menu, but it doesn't ",🪟;windows-10,❓;,❓;,❓;,❓;
1431439,2023-11-19,"Response often  very slow - post upgrade Since the UI upgrade, my Thunderbird client has become slow on my PC. On opening instead of what was previously a quick",❓;,🚧;fix-problems,❓;,❓;,❓;
1431440,2023-11-19,Thunderbird quitting and duplicating messages in Trash I have recently started using Thunderbird 115.4.3 on a new laptop running Windows 11. I transferred my pr,🪟;Windows 11,🚧;fix-problems,❓;,❓;,❓;
1431441,2023-11-19,"How can we stop it: whenever my wife starts TB, Mozilla downloads the same Privacy Message to a new tab in TB The Mozilla message explains your privacy and has ",🪟;Windows 10,🔏;privacy-and-security,❓;,❓;,❓;
