id,created,updated,title,content,tags,product,topic,locale,answers,creator
1403365,2023-01-25 17:01:14 -0800,2023-01-26 01:57:17 -0800,Delete unstarred thru a date range,<p>Is the ability to delete unstarred messages through a certain date still available on Firefox...I ewas insteucrions but I can't find a column heading or a date heading or any of that given the instructions.. help please Skip </p>,desktop;other;,thunderbird,tips-and-tricks,en-US,1561956;,skipqc
1403366,2023-01-25 17:05:55 -0800,2023-01-25 17:09:10 -0800,Deleting OnStar messages through a certain date on Firefox,"<p>Hello is what I found for the instructions if this is still even available on firefox.. I cannot find a subject column or a date column or where to enable starred although I can enable stars all stars or all unstard but it doesn't limit it to just a range.. help please...Skip Chosen solution Right-click any column button, such as Subject, Date etc. and enable the Starred column. Then click the Starred column button to sort the list into starred and unstarred blocks. Select the first unstarred message, hold Shift and select the last unstarred message, press Delete.Jan 13, 2020 </p>",desktop;other;,thunderbird,tips-and-tricks,en-US,1561868;,skipqc
1403367,2023-01-25 17:17:12 -0800,2023-01-25 18:57:39 -0800,Recover deleted messages,"<p>Buongiorno, in passato per alcuni clienti ho utilizzato con successo il componente aggiuntivo ""recoverDeletedMessages"" sviluppato da Paolo Kaosmos <a href=""https://nic-nac-project.org/~kaosmos/#recDelMsg"" rel=""nofollow"">Pagina dello sviluppatore</a>. Il problema è che con la migrazione a Webextensions da parte di Mozilla l'autore ha deciso di abbandonare lo sviluppo dei suoi plugin. Non ho trovato nessun plugin che possa sostituirlo, nessuno ha pensato di riscriverlo? Per chi non lo conoscesse, il plugin in questione permetteva di  di recuperare i messaggi cancellati (dalle cartelle non compattate) settando l'header X-Mozilla-Status a 0 (messaggio da leggere) nei messaggi cancellati. </p>",customize;,thunderbird,settings,it,1561895;,rollopack
1403368,2023-01-25 17:18:53 -0800,2023-01-25 17:29:30 -0800,Recover Deleted Messages,"<p>Good morning, In the past, I have successfully used the ""recoverDeletedMessages"" add-on developed by Paolo Kaosmos <a href=""https://nic-nac-project.org/~kaosmos/#recDelMsg"" rel=""nofollow"">developer's page</a> for some clients. The problem is that with Mozilla's migration to Webextensions, the author has decided to abandon the development of his plugins. I have not found any plugin that can replace it, has anyone thought of rewriting it? For those who are not familiar, the plugin in question allows you to recover deleted messages (from non-compacted folders) by setting the X-Mozilla-Status header to 0 (unread message) in deleted messages. </p>",customize;,thunderbird,settings,en-US,1561872;,rollopack
1403370,2023-01-25 17:23:17 -0800,2023-05-09 18:41:51 -0700,All inbox entries doubled,"<p>Opened inbox this morning and all of the entries had doubled. Now have 2 of everything, why? </p>",other;,thunderbird,other,en-US,1561875;1579754;,chrismorris1
1403375,2023-01-25 17:46:20 -0800,2023-01-27 15:01:13 -0800,Unable to login at server probably wrong configuration or username or password,"<p>Hello , I am trying to add a office365 account in thunderbird to a new win10 machine with below  </p><p>IMAP&nbsp;:  <a href=""http://outlook.office365.com"" rel=""nofollow"">outlook.office365.com</a> Connection:SSL/TLS Port:993 Authentication&nbsp;: OAuth2 </p><p>SMTP <a href=""http://smtp.office365.com"" rel=""nofollow"">smtp.office365.com</a> port:587 Connection:STARTLS Authentication:Outh2 </p><p>This is returning the error  </p><p>Unable to login at server probably wrong configuration or username or password </p>",fix-problems;,thunderbird,troubleshooting,en-US,1561885;1561890;1561894;1562319;,d.is.the
1403380,2023-01-25 18:51:23 -0800,2023-01-26 23:51:23 -0800,CardDAV not syncing to server locally created contacts,"<p>Syncing contacts to a CardDAV account (cPanel) works everything fine in both ways, except that it doesn't sync contacts created local in Thunderbird to the CardDAV server. No error message, nothing. It just doesn't upload/sync created contacts to the server. All the rest works fine. </p><p>Any help? </p>",other;,thunderbird,other,en-US,1561980;1562000;1562165;,mig81
1403386,2023-01-25 20:03:54 -0800,2023-01-28 16:20:19 -0800,Menus and toolbars,"<p>I accidentally lost the menu bar but got it back temporarily reading the article. However,, I have been unable to get it back permanently because, contrary to the article, right on a empty section of the tab strip does NOT produce a popup menu to check. </p><p>Also, I have lost the threehorizontal bars on hte right. </p><p>I can print an email now but not when it is oped because the menu dissapears then  </p><p>I finf this who menue and toobar subject very complicated and confusing. It was simpler in previous versions. </p>",customize;,thunderbird,settings,en-US,1562522;,vlilley
1403387,2023-01-25 20:11:26 -0800,2023-01-26 00:49:01 -0800,Thunderbird : restore the bold color ( usually blue ) typical of received emails,"<p>THUNDERBIRD question How to restore the bold color ( usually blue ) typical of received emails&nbsp;? This issue is crucial when thunderbird is used in IMAP mode by multiple users. If a user reads the email, the others who share it lose the bold blue color typical of the email to be read Can anyone give me a solution?? Thank you Robert </p>",other;,thunderbird,other,it,1561942;,iacopetti
1403389,2023-01-25 20:31:58 -0800,2023-01-30 19:13:52 -0800,Importing Thunderbird messages from a folder,"<p>I managed to import part of my messages at the beginning of the folder hierarcy and some at the end. The missing parts in hte middle,  I guess is because of the large size of the folders  I subsequently tried importing sub folders but it doesn't work. I get 'Complete' straight away and the import folder is empty.. </p><p>I've an extensive hierarchy of messages and having to do this preacemeal will be time consuming and error prone. </p>",download-and-install_1;,thunderbird,installation-and-updates,en-US,1562526;1562851;1562996;,vlilley
