id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430224,2023-11-07,"Emails not getting marked as ""read"" in latest version of Thunderbird Since the latest update to Thunderbird (115.4.1) the ability to mark messages as ""read"" doe",❓;,🚧;fix-problems,❓;,❓;,❓;
1430226,2023-11-07,Display filter for Inbox or other folders It drives me crazy because I don't know what happened. Until last week I had an option in Thunderbird to filter the di,❓;,👽;other,❓;,❓;,❓;
1430227,2023-11-07,"A horizontal row of buttons has inexplicably disappeared from my Thunderbird mail app viewing page. This includes the button ""Tag"" which I frequently use to cat",❓;,🔩;customize,❓;,❓;,❓;
1430228,2023-11-07,Change Font Size in 115.4.1 (32-bit) SuperNova I would like to change the font size of the entries in my Messages pane. Changing it with View>Font Size changes ,❓;,🔩;customize,❓;,❓;,❓;
1430229,2023-11-07,"Thuderbird bug When I am in my inbox in Thunderbird it will freeze. When it is active again, instead of being in my inbox with my emails all listed, the Local F",❓;,👽;other,❓;,❓;,❓;
1430230,2023-11-07,HOW do I delete an unused account? I have two accounts.  One was an old business account that has been cancelled by the server.  But thunderbird keeps trying to,❓;,👽;other,❓;,❓;,❓;
1430232,2023-11-07,"After multiple install/delete attempts, Thundrerbird 115.4 hangs on install and goes to Settings page After multiple install/delete attempts, Install now hangs ",❓;,🛠;download-and-install,📮;Gmail,❓;,❓;
1430233,2023-11-07,"managibg mailing list hi to TB'Staff, I've already noticed several times before now, while I'm using the mailing list, every one all of those count the items mi",❓;,🚧;fix-problems,❓;,❓;,❓;
1430234,2023-11-07,"Recurring (network/shared) calendar events with notification sound keep re-pinging every minute This has been a problem for me for years, across multiple machin",🐧;Linux,📅;calendar,❓;,❓;,❓;
1430235,2023-11-07,How do I forward a received email to one of my Address Books Thunderbird 115.4.1 on Fedora 38 I want to forward a received email to all the contacts in one of m,❓;,👽;other,❓;,❓;,❓;
1430239,2023-11-07,Thunderbird: The previous history disappears when replying to an email In my e-mail conversations it would be an advantage if everything that has been written s,❓;,🔩;customize,❓;,❓;,❓;
1430241,2023-11-07,Thunderbirt 115.4.1  horrible fonts - I want my old fonts back. now ! Thunderbirt 115.4.1  horrible fonts - I want my old fonts back. now ! What was the old set,❓;,👽;other,❓;,❓;,❓;
1430242,2023-11-07,"Line spacing control I have set in Tools > Settings > Composition > HTML Style  the box  ""Use Paragraph Format instead of Body Text by default"" unchecked. This ",🪟;Windows 11,🔩;customize,❓;,❓;,❓;
1430243,2023-11-07,"Velikost složek Dobrý den,  mám instalovanou poslední verzi Thunderbirdu. Problém mám s velikostí, kterou mě zabírá datová složka. Při pohledu na velikost IMAP ",❓;,👽;other,❓;,❓;,❓;
1430245,2023-11-07,sopo aggiornamento programma thunder la rubrica delle email non appare al seguito della installazione dell'aggiornamento thunder  la rubrica degli indirizzi ema,❓;,👽;other,❓;,❓;,❓;
1430246,2023-11-07,"CALENDARIO Buongiorno, da mesi ho un evento che non riesco ad eliminare... Ogni mezz'ora ricompare.   Come posso fare ad eliminarlo? Grazie ",❓;,📅;calendar,📮;Gmail,❓;,❓;
1430247,2023-11-07,Screen Settings On my new PC when I enter Thunderbird it doesn't open the highlighted message lower on the screen but will open in a new tab if requested . What,❓;,👽;other,❓;,❓;,❓;
1430248,2023-11-07,"Thunderbird 114: Scroll function by mouse does not work Hi, while Thunderbird was updating to its latest version I lost the ability to scroll with my mouse whee",🪟;Win 11,👽;other,❓;,❓;,❓;
1430251,2023-11-07,Preview pane header has gone I use thunderbird in classic view with the message preview pane below the list of messages. Sometimes I reduce the size of the prev,❓;,👽;other,❓;,❓;,❓;
1430252,2023-11-07,"Jumping on mesages. Hi, After last actualization to 115.4.1 I have problem with jumping focus in folders. If I choose folder (for exaple Allegro) Tunderbird don",❓;,👽;other,❓;,❓;,❓;
1430258,2023-11-07,"deleting messages in inbox makes the inbox list scroll to random places Hello there, since the latest update (115.4.1 (64-bit)) a rather inconvenient bug appear",❓;,🚧;fix-problems,❓;,❓;,❓;
1430259,2023-11-07,"Me desapareció la configuración de las cuentas de correo Hola, el otro día moví la carpeta donde tenía todos los emails a un lugar donde poder hacerle copias co",❓;,🚧;fix-problems,❓;,❓;,❓;
1430261,2023-11-07,"How to Setup Outlook email Id To Whom it may concern, I am trying to setup my Outlook, Proton and Mailfence email Id but whenever I try to set it up it shows er",❓;,👽;other,💌;Outlook,❓;,❓;
1430262,2023-11-07,Receive only email address Can you set up an email address to receive only/block sending from it? I have two addresses defined in Thunderbird and if I don't che,❓;,🔩;customize,❓;,❓;,❓;
1430265,2023-11-07,Thunderbird 115.4.1 on Win 10 - Unable to write the email to the mailbox. Hello. Currently receiving the following error pop-up with Thunderbird 115.4.1 on Win ,❓;,🚧;fix-problems,🇾;sbcglobal,❓;,❓;
1430266,2023-11-07,Thunderbird stops downloading new messages The problem is that when Thunderbird is running during normal operation and I leave the computer for at least 30 minu,🪟;Windows 11,🚧;fix-problems,❓;,❓;,❓;
1430268,2023-11-07,"Tab aperti su mozzilla thunderbird 115 Buongiorno, innanzitutto vorrei complimentarvi con tutti voi per il lavoro svolto sul programma di posta elettronica ""Thu",❓;,🚧;fix-problems,❓;,❓;,❓;
1430269,2023-11-07,"posta inviata Buongiorno, Volevo sapere come mai dopo aver svuotato il server di aruba delle posta inviata ed in arrivo, si eliminano anche dal programma sul pc",❓;,👽;other,❓;,❓;,❓;
1430275,2023-11-07,Multiple responses don't appear in inbox I do not write code nor do I understand it.  I am only a user of 20+ years and I loved it until I updated to Supernova.,❓;,🚧;fix-problems,❓;,❓;,❓;
1430278,2023-11-07,Deleting an email and it keeps reappearing in my inbox Hi.. I have a unique issue (I think) I have an email that I can't get rid of in my inbox.  I will click d,❓;,👽;other,❓;,❓;,❓;
