id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1414197,2023-05-25,"email will NOT send in Thunderbird The email is sending in Gmail.  I am receiving emails in this account, and now drafts are being saved but not sending.  I hav",🪟;Windows 10;os:win10,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 17:16:14 -0700
1414202,2023-05-25,Dates for help articles It would be great if you would include posting date and/or date reviewed to all help articles. It helps very much in knowing whether a h,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 18:10:47 -0700
1414203,2023-05-25,"Unable to login at server. Probably... I have two gmail accounts, both working perfectly for years. Lets call them A1 and A2. last week A1 all of a sudden stopp",🪟;Windows 10;os:win10,👽;other;t:other,📮;gmail;m:gmail,🇰;Kaspersky;av:kaspersky,❓;;uc:unknown,other;,2023-05-24 19:00:28 -0700
1414204,2023-05-25,"Messages not imported correctly Sometimes, often after an upgrade, messages IMAPed to Thunderbird do not display correctly. In two recent cases I moved two mess",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 19:51:12 -0700
1414206,2023-05-25,"POP not pulling old emails from server I have set up Thunderbird to connect to my ISPs email server. I have 22,470 emails that will not download, from April 202",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 21:05:29 -0700
1414211,2023-05-25,"Thunderbird can't login to Outlook server I use Thunderbird as my mail app on my Macbook Pro.  I have 2 active email accounts.  One with Google, which works fin",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-05-24 21:55:24 -0700
1414213,2023-05-25,on Startup the home screen is blank On startup my home tab is completely empty. I can click on get messages and I see that this happens in the background but th,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 22:44:07 -0700
1414214,2023-05-25,thunderbird 102.11.0 32 bit launch icon shows wrong number of messages unread thunderbird 102.11.0 launch icon shows wrong number of messages unread.  this rele,🪟;win 11;os:win11,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-24 22:55:27 -0700
1414219,2023-05-25,Thunderbird va in crash se clicco Rispondi o Inoltra con specifici messaggi Versione 102.9.0 Windows 10 Pro quando clicco su rispondi o inoltra certi messaggi T,🪟;Windows 10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-05-25 00:57:38 -0700
1414222,2023-05-25,thunderbird multiply nested local folders The problem on Thunderbird 102.7.1 on linux Mint is as follows. 3 accounts with account folders are ok but in local fo,🐧;linux;os:linux,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-05-25 02:56:36 -0700
1414230,2023-05-25,"Unable to login at server. Probably... I have two gmail accounts, both working perfectly for years. Lets call them A1 and A2. last week A1 all of a sudden stopp",🪟;Windows 10;os:win10,👽;other;t:other,📮;gmail;m:gmail,🇰;Kaspersky;av:kaspersky,❓;;uc:unknown,other;,2023-05-25 04:02:27 -0700
1414231,2023-05-25,"Lightning Caldav sync issue changing time appointment Hi Volunteers,  I will be trying to be nice in putting this question, and doing my best to explain.  I use",🐧;linux;os:linux,📅;calendar;t:calendar,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-05-25 04:06:09 -0700
1414232,2023-05-25,Synchronization issue when changing server Hello. Recently we switched our company's internal server from yandex.ru to mail.ru. Since then we have some issues w,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-05-25 04:27:21 -0700
