id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430577,2023-11-10,"TB won't show ""SentCopies"", folder in Local Folders, just ""Sent"" , But does show ""SentCopies"" folder content mis-labeled as ""Sent"" in UNIFIED =>Local Folders Hi",❓;,🔩;customize,❓;,❓;,❓;
1430580,2023-11-10,Sending an email to a hotmail account I am having issues with sending emails to my daughter's hotmail account. She is not receiving the emails. This has been ha,❓;,👽;other,💌;outlook,❓;,❓;
1430581,2023-11-10,how do I increase font size of incoming mail in Thunderbird version 115.4.2 64 bit? I have tried all solutions on your site and nothing happens. how do I increa,❓;,🔩;customize,📮;gmail,❓;,❓;
1430582,2023-11-10,"Mozilla Thunderbird query Hi, I use Thunderbird on my pc (Windows 10) with two email addresses. The first email address appears normally on-screen with 'inbox /",🪟;Windows 10,👽;other,❓;,❓;,❓;
1430584,2023-11-10,"Delete Attachments in Thunderbird Hello, Since thunderbird update to Supernova, I cannot delete heavy attachments in email, can you solve ? Regards ",❓;,👽;other,❓;,❓;,❓;
1430586,2023-11-10,RE:  E-Mail Folders and E-Mails Just Disappeared! I made the mistake up upgrading to the most recent version of Thunderbird last week and I DO NOT LIKE IT!  Eve,❓;,🚧;fix-problems,❓;,❓;,❓;
1430591,2023-11-10,"Can no longer receive emails I no longer receive emails since October 29, 2023, can someone offer solutions?  If not, I will have to stop using Thunderbird and ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430593,2023-11-10,Incorrect Timezone for Asia/Kuala Lumpur and Asia/Singapore There is something wrong with the Asia/Kuala Lumpur and Asia/Singapore timezone after updating to Th,❓;,📅;calendar,❓;,❓;,❓;
1430595,2023-11-10,"Multiple email accoumnts, kept seperate I did not find this exact question after looking through multiple pages. I have two email accounts, that is easy enough ",❓;,👽;other,❓;,❓;,❓;
1430597,2023-11-10,All Mail category showing unread emails using Gmail Using Gmail Account we have the a) Inbox and b) All Mail.   If any unread email it shows the number of unrea,❓;,🔩;customize,📮;Gmail,❓;,❓;
1430598,2023-11-10,"Only runs normally on my external monitors, but not on the laptop's internal display. Runs normally fast on my external monitor, but not on the laptop's interna",❓;,🚧;fix-problems,❓;,❓;,❓;
1430599,2023-11-10,"Archivos pdf Buenos días, desde la última actualización (noviembre 2023) me llegan algunos archivos pdf vacíos. Me aparecen los archivos adjuntos con su nombre,",❓;,🚧;fix-problems,❓;,❓;,❓;
1430600,2023-11-10,Sent mails do not come in I constantly get following message if I go in the sent folder.  How can I repair that and get my sent mails in my sent box : The curre,❓;,👽;other,❓;,❓;,❓;
1430601,2023-11-10,"All folders become unsubscribed, the subscribe them all again Using Mozilla 115.4.2 (64-bit) on MacOS 14.0 I have plenty of folders and subfolders on my Office3",❓;,👽;other,💌;Office365,❓;,❓;
1430602,2023-11-10,"How to open up p7s format? Hello!   I've heard that you app can help to open up p7s format.  But I do not understand how.  Thanks,  Mark ",❓;,👽;other,❓;,❓;,❓;
1430603,2023-11-10,"""unable to login at server"" I have been unable to setup Thunderbird to access gmail.  After entering my gmail address and login, I press ""done"" and get a gmail ",🪟;Windows 11,🛠;download-and-install,📮;gmail,🇧;bitdefender,❓;
1430604,2023-11-10,"No mail updates (and nothing happening on send/receive button) until restart of Thunderbird It happens repeatedly, several times per day (usually after resuming",🪟;Windows 10,🚧;fix-problems,📮;Gmail,❓;,❓;
1430609,2023-11-10,Thunderbird cannot send emails Mozilla firefox has upgraded itself and thus shut down my ability to send emails. I also do not understand the instructions for i,❓;,👽;other,❓;,❓;,❓;
1430610,2023-11-10,Lagutolsó üzenetre ugrás Thunderbird (SUPERNOVA) 115.4.2. (32 bites) levelezőt használok. A Supernovára  történő frissítés után a levelek az alábbi módon jelenn,❓;,🔩;customize,❓;,❓;,❓;
1430611,2023-11-10,"Thunderbird Privacy Note When opening Thunderbird, the Privacy Note - https://www.mozilla.org/en-US/privacy/thunderbird/ - opens several times. If I disable the",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430612,2023-11-10,Attachment won't work for specific account I have TB 115.4.2 running in Windows 11 Pro (ver 22621). Two accounts are created - Gmail and another IMAP account. A,🐧;Linux,👽;other,📮;Gmail,❓;,❓;
1430613,2023-11-10,"Staying on 115.3.1 My T'bird is functioning OK at this release level, though I see that 115.4.2 has now been made available. I only use the email in/sent etc to",❓;,👽;other,❓;,❓;,❓;
1430616,2023-11-10,"Cannot send messages, response ""Client host rejected: cannot find Your hostname"" My Thunderbird client has worked thus far. Now I cannot send messages from my """,❓;,🚧;fix-problems,❓;,❓;,❓;
