id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430895,2023-11-14,"Trying to understand archiving I'm trying to understand archiving, I've done a lot of searching and found nothing that answers my questions.   I'm running Thund",🐧;Linux,👽;other,📮;Gmail,❓;,❓;
1430896,2023-11-14,How can I decrypt my email? I recently revoked my OpenPGP key and wanted to decrypt encrypted emails. How can I do it? ,❓;,👽;other,❓;,❓;,❓;
1430897,2023-11-14,Thunderbird 115.4.1 (linux mint) keeps giving login error I randomly get the following message: see attached image ,🐧;linux,🚧;fix-problems,❓;,❓;,❓;
1430898,2023-11-14,"TB115 - New look n feel - but where to get the old one back? So, who was the genius that tought that overhauling the UI again was a great Idea? Where do I need ",❓;,🔩;customize,❓;,❓;,❓;
1430900,2023-11-14,Thunderbird I need a button to get immediate check of my email inbox from my provider. The old button has been replaced b y a NON-FUNCTIONING button which offer,❓;,🚧;fix-problems,❓;,❓;,❓;
1430905,2023-11-14,Thunderbird Version 115.4.2 (64 bit) can't send emails Please give me support in solving the problem which ha only arisen since this version was installed ,❓;,🚧;fix-problems,❓;,❓;,❓;
1430906,2023-11-14,Not downloading emails from one  (my main) single account among many. Hi I've used Thunderbird (32bit) for years with no major problems but when someone sent me,❓;,👽;other,❓;,❓;,❓;
1430908,2023-11-14,"Folders open in the middle of the list when sorted by date After the latest Thunderbird update to 115.4.2 (64-bit), when I open any folder to view emails, the p",❓;,🔩;customize,❓;,❓;,❓;
1430909,2023-11-14,"Incoming message will be opened in a new window prepared already as „Answer To“ Hello, I hope somebody can help me in this case: I’m using four accounts for the",❓;,🚧;fix-problems,❓;,🇪;eset,❓;
1430913,2023-11-14,"[Supernova 115.4.2 (64-bit)] Not being able to select multiple folders at once. Hi all,  Since the last update, I am not able to select multiple folders at once",❓;,🚧;fix-problems,❓;,❓;,❓;
1430914,2023-11-14,EXPORTAR CONTACTOS Y MENSAJES VERSION 115.4.2 A OUTLOOK Hola Alguién sabe como exportar contactos y mensajes del correo de la version 115.4.2 a Outlook? Gracias,❓;,🛠;download-and-install,💌;OUTLOOK,❓;,❓;
1430916,2023-11-14,"Stop Threading in Search Message Hi all, how do I stop threading subject when I Search Messages. This new option makes very difficult the search and disables so",❓;,🔩;customize,❓;,❓;,❓;
1430917,2023-11-14,Email Notifications I need a more recent answer to the ones I have found (2017) - I've had an update and no longer get a notification of new emails - why please,🪟;Windows 10,👽;other,❓;,❓;,❓;
1430920,2023-11-14,Links included in the contents of incomming mails don't open up when reading the mail in the folder. Hello support Links included in the contents of incomming m,🪟;Windows 10,🚧;fix-problems,❓;,❓;,❓;
1430923,2023-11-14,"Thunderbird does not start after latest update Hi, A couple of weeks ago the Mozilla Thunderdirb I have installed on my laptop had an update. Since then the pro",🪟;Windows 10,🛠;download-and-install,❓;,❓;,❓;
1430924,2023-11-14,"Send Later regularly pops up when trying to send emails I have installed the latest version of Thunderbird, and now having problems with sending emails. Quite r",❓;,👽;other,❓;,❓;,❓;
1430925,2023-11-14,How to see full mail adress from sender? Hi there! How can I see the full mail adress in my list of received emails (instead of just a name)? It's kind of a sec,❓;,🔩;customize,❓;,❓;,❓;
1430928,2023-11-14,"Tiny font appearance when composing messages When I compose an email, the text is minute. Variable width, medium setting. I have followed every step I can find ",❓;,🔩;customize,❓;,❓;,❓;
1430931,2023-11-14,"Thunderbird Portable Hi All How are you? At first, heartfelt thanks for your products  I really appreciate them Secondly I need to use Thunderbird as a Portable",❓;,🛠;download-and-install,❓;,❓;,❓;
1430932,2023-11-14,contact page--what does it look like 'bold text'bold text  i am on outlook and looking to move my contacts.  what does your contact page look like? my outlook c,❓;,👽;other,💌;outlook,❓;,❓;
1430934,2023-11-14,"Deleting old account I can't seem to delete an old account on Thunderbird. It says it's a ""special account"" with no identity associated with it. Can someone hel",❓;,🛠;download-and-install,📨;protonmail,❓;,❓;
1430935,2023-11-14,no emails older than 30 days For the longest time I couldn't find out why my emails were automatically being deleted. Any email older than 30 days (sometimes ev,❓;,👽;other,❓;,❓;,❓;
1430942,2023-11-14,Struggling to get  Thunderbird / 365 SMTP to work Help with making 365 SMTP work I just hangs tried to change so many setting on 365 it seams to be a Thunderbir,❓;,👽;other,❓;,❓;,❓;
1430944,2023-11-14,"‘having lost my password for Thunderbird, is there any way that I can create a new one? My Thunderbird has not retained my old password. Please help as I prefer",❓;,👽;other,❓;,❓;,❓;
1430946,2023-11-14,mail uscita sono tre giorni che non mi va la posta in uscita mi esce sempre lo stesso errore  invio non riuscito si e verificato un errore durante l'invio della,❓;,👽;other,❓;,❓;,❓;
1430949,2023-11-14,"""Important"" folder vs Inbox. What's the difference? I have a folder, called ""important"" showing up in my list of folders and it annoys me that some emails it co",❓;,👽;other,❓;,❓;,❓;
1430952,2023-11-14,"No space for downloading messages I am trying to move a message from inbox to a folder; thunderbird 115.2.2 tells me that ""There is not enough disk space to dow",🍎;Ventura,👽;other,❓;,❓;,❓;
1430953,2023-11-14,"Thunderbird 115 (Linux) shuts down after I close a message I just installed Thunderbird 115 on Linux. When a message arrives and I open it, when I close the mes",🐧;Linux,🚧;fix-problems,❓;,❓;,❓;
1430955,2023-11-14,"Problems with gmail I use Thunderbird to manage my single email account.  It is not a gmail account.  I have received emails from others with a gmail accout, bu",❓;,👽;other,📮;gmail,❓;,❓;
1430957,2023-11-14,cannot sent emails=msg says email address sending as must match the address you used to authorize about middle last week started receiving error message: An err,❓;,👽;other,❓;,❓;,❓;
1430958,2023-11-14,"When I check them and click on an email the whole section will go to the top or the bottom, Then I need to scroll down or scroll up to get back to the new email",🪟;Windows 11,🚧;fix-problems,❓;,❓;,❓;
1430961,2023-11-14,Thnderbird 115.4.2 How do i get back to viewing emails in a box below the headers like i was happily used to. Alternatively where can I find my old edition? Wha,❓;,👽;other,❓;,❓;,❓;
1430962,2023-11-14,Email inbox font too small Recently updated Thunderbird which seemed to change some of my settings and make things a little awkward.  I have managed to reduce t,❓;,🚧;fix-problems,❓;,❓;,🪛;userchrome
1430965,2023-11-14,smtp settings I have been using Thunderbird forever and have not changed my email address or server settings (or ISP) since I originally set up Thunderbird year,❓;,👽;other,❓;,❓;,❓;
1430970,2023-11-14,"Email When I click on an email in my folder, it is removed/moved and is no longer there.  All my emails used to stay in my folder even after clicking on them an",❓;,🔩;customize,❓;,❓;,❓;
1430971,2023-11-14,Unable to send email after 115.4.1 update Since 115.4.1 update all attempts to send/reply/forward emails fail with error message AUP#Out-1500 asking to verify e,❓;,🚧;fix-problems,💌;roadrunner,❓;,❓;
1430972,2023-11-14,Thunderbird not syncing correctly My mail is on fastmail. The screenshot sows mail item in their web app that do nor appear in TB's list. This has been happenin,❓;,🚧;fix-problems,📧;fastmail,❓;,❓;
1430973,2023-11-14,"pdf could not be opened, because the associated helper application does not exist. Version 115.4.2 I had recently been getting lots of errors when using a paid ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430974,2023-11-14,"l'evidenza di email non lette non funziona con cartelle nidificate Buongiorno, sono Luca Ferrari, Vi segnalo che nella versione 115.4.2 (64 bit) di Thunderbird,",🪟;Win10,👽;other,❓;,❓;,❓;
1430976,2023-11-14,mozilla tbird to establish PW How does one choose a PW for a new account? I can not install software. Lance ,❓;,🛠;download-and-install,❓;,❓;,❓;
1430977,2023-11-14,"Supernova 115.4.2: Inbox does not get compacted Thunderbird keeps giving me messages that I should compact the inbox.  The ""saved value"" value keeps growing ove",❓;,👽;other,❓;,❓;,❓;
1430979,2023-11-14,Google a PIA I have a client that is responsible for sending emails to all members of a board of directors on a timely manner. All members are on Gmail. The cli,❓;,🚧;fix-problems,📮;Gmail,❓;,❓;
1430980,2023-11-14,"Post aggiornamento 115.4.2 tutte le mail e le cartelle personalizzate sono scomparse Ciao a tutti, uso Thunderbird da un po' e mi sono sempre trovato bene. Tutt",❓;,👽;other,❓;,❓;,❓;
1430981,2023-11-14,troubleshooting mode If I use troubleshooting mode to try to solve email not sending will I lose saved emails and other info? ,❓;,🛠;download-and-install,❓;,❓;,❓;
1430982,2023-11-14,"Missing emails from trash folder Several times now, I have been using Thunderbird v115.4.2 on Windows 11, and I have deleted a message or messages and regretted",🪟;Windows 11,👽;other,❓;,❓;,❓;
1430984,2023-11-14,Lost my folders and account settings I upgraded to 115 and can no longer see my folders or accounts although they are still on my C: drive. I tried importing th,❓;,🛠;download-and-install,❓;,❓;,❓;
1430986,2023-11-14,"Emails disappeared Hi, I am using POP to download emails from Gmail which is my email provider. Starting last week, Thunderbird client starts to delete the down",❓;,👽;other,📮;Gmail,❓;,❓;
1430988,2023-11-14,"""Empty Junk & Trash"" + ""Compact Folders"" ??? Something is ""Wrong"" OR ""Different"" with Thunderbird 115+ (64 bit).   The ""Compact Folders"" does not work like it u",❓;,🚧;fix-problems,❓;,❓;,❓;
1430990,2023-11-14,"How to disable the ""what's new in Thunderbird..."" browser pop up. How to disable the ""what's new in Thunderbird..."" browser pop up. It has been many weeks and I",❓;,🔩;customize,❓;,❓;,❓;
1430991,2023-11-14,"Is it possible to set PGP/MIME in Thunderbird ? There used to be a ""Use PGP/MIME by default"" setting in Enigmail, but I can't find this anymore. I've sent a few",🐧;Ubuntu,🔏;privacy-and-security,📮;gmail,❓;,❓;
