id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430340,2023-11-08,Number of Messages Counter I used to be able to see the number/count of new messages and old messages in all of my message folders.  There seems to have been an,❓;,🔩;customize,❓;,❓;,❓;
1430341,2023-11-08,Opening emails in Local Folders on my C drive using Explorer in Windows 11 How do I open emails in Local Folders using Explorer in Windows 11? I know they shoul,🪟;Windows 11,👽;other,❓;,❓;,❓;
1430342,2023-11-08,"migration I have migrated sackvilleandlane@westnet.com.au from Westnet to The Messaging Company, they tell me it is successful, but I cannot get emails. They no",❓;,🛠;download-and-install,❓;,❓;,❓;
1430344,2023-11-08,How do I open emails I stored in Local Folders on my C drive using Explorer in Windows 11? This adds to the question I asked earlier today. I would also like to,🪟;Windows 11,👽;other,💌;Passport,❓;,❓;
1430345,2023-11-08,"Why can't I mark multiple folders in Thunderbird Why can't I mark multiple folders in Thunderbird, you could before updating to version 115.4.2 (32-bit). It is ",❓;,👽;other,❓;,❓;,❓;
1430347,2023-11-08,Message Window Too Small Since the big update I cannot read my messages in the message window without scrolling as I read each line. The message window is so sm,❓;,👽;other,❓;,❓;,❓;
1430348,2023-11-08,Mozilla Thunderbird basics How many free personal accounts could I have for Mozilla Thunderbird? ,❓;,🛠;download-and-install,❓;,❓;,❓;
1430349,2023-11-08,Mozilla Thunderbird basics. question before downloading duplicate of /questions/1430348 thread. How many free personal accounts could I have for Mozilla Thunder,❓;,🛠;download-and-install,❓;,❓;,❓;
1430352,2023-11-08,emails I cant send or receive 'I can't send or receive emails ,❓;,👽;other,❓;,❓;,❓;
1430356,2023-11-08,"Thunderbird app on MacBook Air. Why has my email viewing page altered spontaneously? so that I can no longer see the horizontal bar at the top, which contains b",❓;,🔩;customize,❓;,❓;,❓;
1430357,2023-11-08,"How to print address list???? I've been using Thunderbird/Eudora for 20+ years.  Today, I was forced to download a new version today.  In doing so, I lost most ",❓;,👽;other,❓;,❓;,❓;
1430358,2023-11-08,"Problem with attachments after updating Thunderbird from version 102.15.1 to version 115.4.2 Hello, After updating the Thunderbird email program from version 10",❓;,🚧;fix-problems,❓;,❓;,❓;
1430359,2023-11-08,Jak vrátit vzhled TB před poslední aktualizací? Po aktualizaci na verzi 115.4.1 se po létech změnilo rozložení ovládání TB k horšímu. Pole rychlého filtru se př,❓;,🔩;customize,❓;,❓;,❓;
1430361,2023-11-08,"Html bulk mail with thunderbird Hi support, please I would like to know the recipient limits while sending a html bulk mail using thunderbird to prevent my SMTP",❓;,🔩;customize,❓;,❓;,❓;
1430364,2023-11-08,Supernova 115 - Can anyone help to replace the Global Search box (Ctrl+K) by Quick Filter Search box (Ctrl+Shift+K) on mail Toolbar Supernova 115 - I prefer the,❓;,🔩;customize,❓;,❓;,❓;
1430365,2023-11-08,"Mail con allegato scompaiono Alcune mail, con allegato, una volta ricevute (visualizzo notifica in basso a dx sul monitor) dopo qualche secondo scompaiono dall'",❓;,🚧;fix-problems,❓;,❓;,❓;
1430367,2023-11-08,"Error message ""Unable to write the email to the mailbox"" Suddenly have an issue with my personal emails. Keep getting this ERROR message and reloads 5 emails ov",❓;,🚧;fix-problems,❓;,❓;,❓;
1430369,2023-11-08,"collegamento thunderbird alla nuova casella istruzione.it ora con outlook.365 e non più con Aruba Buongiorno, sono un dipendente della scuola, il ministero per ",❓;,👽;other,💌;outlook,❓;,❓;
1430370,2023-11-08,Slowed sending of messagez Tell me what should i do to faster sending messages in the app ,❓;,🚧;fix-problems,❓;,❓;,❓;
1430375,2023-11-08,"how do I stop threaded emails from opening when I search a particular email Since I updated my thunderbird, when ever I search a email and click on the one I wa",❓;,👽;other,❓;,❓;,❓;
1430377,2023-11-08,"Not receiving emails I'm using Thunderbird with my hotmail account and have never had a problem before yesterday. Now I get this error message. ""Unable to write",❓;,🚧;fix-problems,❓;,❓;,❓;
1430378,2023-11-08,"disappearing emails. Hi since last Friday, on startup my thunderbirds keeps new deleting emails that are not starred. deleted from the server site too. It does ",🪟;windows 10,👽;other,❓;,❓;,❓;
1430379,2023-11-08,Thunderbird Supernova non filtra i messaggi in base alla corrispondenza nel riquadro della posta in arrivo. Vi comunico che il software Thunderbird Supernova no,❓;,👽;other,❓;,❓;,❓;
1430381,2023-11-08,"""Write"" icon has vanished. Windows 10 Thunderbird 115.4.2 (64 bit) Following the recent update, the Write icon has vanished. I can see it in Customise -Toolbars",🪟;Windows 10,🔩;customize,❓;,❓;,❓;
1430382,2023-11-08,"Invisible image in the footer hi, I have problem with footer in Mozilla Thunderbird.  I haven't had a problem with this so far, but after downloading the progra",❓;,🔩;customize,❓;,❓;,❓;
1430383,2023-11-08,Messages are in some type of code  I cant read Messages are in some type of code  I cant read: Return-Path: <1axbimo7pjbi2nnumto7r12sm8uardraldlgbs-sallycasey=c,❓;,👽;other,❓;,❓;,❓;
1430384,2023-11-08,"Screen format Somehow my screen has be reformatted.  I cannot go to saved messages, the sent file, and can only 'send later'.  I need to go back to the original",❓;,👽;other,❓;,❓;,❓;
1430391,2023-11-08,no email download download email ,❓;,🛠;download-and-install,❓;,❓;,❓;
1430393,2023-11-08,"Cada vez que abro Thunderbvir me pide acceso a una cuenta de google, que ya no existe. Cada vez que abri la aplicación de Thunderbird, se abre una ventana que m",❓;,👽;other,❓;,❓;,❓;
1430395,2023-11-08,"Can't get a existing emil conto online Can't get a existing emil conto online, when pressing the ""Opret konto"" after the server has fullfilled the data ",❓;,🛠;download-and-install,❓;,❓;,❓;
1430397,2023-11-08,"issue with thunderbird with IMAP mail in linux Hello, I am using thunderbird with my professional mail, in the pc I have a dual boot with windows where i also u",🐧;linux,🚧;fix-problems,📮;gmail,❓;,❓;
1430398,2023-11-08,"Passwords I've used talktalkk for approx 25 years I've tried every password i've had during that time all fail can you help please, both my alternative email ad",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430399,2023-11-08,Occasional detach failure I have Thunderbird 115.4.1 (64 bit) installed on a Windows 7 Home Premium SP1 machine. I have tried to get into the habit of Detaching,🪟;Windows 7,🚧;fix-problems,❓;,❓;,❓;
1430401,2023-11-08,How do I remove big blue Thunderbird menu button? See the included image.  Not sure how I turned on the large blue Thunderbird box/icon but I'd really like to r,❓;,🔩;customize,❓;,❓;,❓;
1430404,2023-11-08,"Message search (ctrl+shift+F) After the last update, all message search results are grouped by threads, even though I disabled all threads in the whole account.",❓;,🔩;customize,❓;,❓;,❓;
1430406,2023-11-08,"email templates I use templates on Thunderbird, after last update templates open bigger than supposed to be, did not do that for several years. Once I send or p",❓;,👽;other,❓;,❓;,❓;
1430407,2023-11-08,New installation of Thunderbird on WIndows11 - cannot send mail - New installation of Thunderbird on WIndows11 - cannot send mail - get the follwoing error mess,❓;,🚧;fix-problems,❓;,❓;,❓;
1430408,2023-11-08,Password and Primary Password unknown I have lost my password and even the primary password. Is there any way to recover from this dilemma?  When I click on the,❓;,👽;other,❓;,❓;,❓;
1430411,2023-11-08,I had a local folder turned on my computer and it wasnt there I was on my computer my local folder was present on the left side of my computer than disappeared ,❓;,👽;other,❓;,❓;,❓;
1430414,2023-11-08,hmailserver help installing SMTP in hmailserver without relay what are smtp settings in thunderbird using win 10 pro for server thanks for any help ,❓;,👽;other,❓;,❓;,❓;
1430415,2023-11-08,Cannot delete old email accounts I'm running Thunderbird 115.4.2 on Windows 10. There are several unused email accounts I want to remove but am unable to do so.,🪟;Windows 10,👽;other,❓;,❓;,❓;
1430416,2023-11-08,E-mail notifications how do I hide new email notifications? ,❓;,👽;other,❓;,❓;,❓;
1430417,2023-11-08,Iniciar Thunderbird hola ! aL iniciar Thunderbird ( en la actualizacion al Supernova ) yo tenia configurado que en el Cuerpo Mensaje me mostrara el último mensa,❓;,🔩;customize,❓;,❓;,❓;
1430421,2023-11-08,I did not receive email from 4:00 PM to 11:20 AM.  Is there any way to recover it? My email did not work from 4:00 PM on 11/7 until 11:30 AM on 11/8.  Is there ,❓;,🚧;fix-problems,❓;,❓;,❓;
1430425,2023-11-08,Thunderbird hesabını silmek Bugün thunderbirdü indirdim ve onu hotmail hesabım ile bağlayıp tüm epostalarımı aktardım ancak şimdi ise thunderbirdü ve aktardığım,❓;,👽;other,💌;outlook,❓;,❓;
1430429,2023-11-08,"Messages that are replied to disappear after more than one response? When I reply to and email, and we start a reply chain (back and forth) after the second or ",❓;,👽;other,❓;,❓;,❓;
1430430,2023-11-08,My server not available I can not send or receive emails ,❓;,👽;other,❓;,❓;,❓;
1430432,2023-11-08,When I click on some e-mails it will leave them as unread instead of marking it as read. I have the 'Message Pane' enabled. When I click most emails they are di,❓;,👽;other,❓;,❓;,❓;
1430433,2023-11-08,the server is timing out i am unable to send or recieve emails ,❓;,👽;other,❓;,❓;,❓;
1430434,2023-11-08,print screen has 'SAVE TO PDF' and won't allow print ID to be added Print screen has 'Save to PDF' and does not have the printer ID as an option and you can not,❓;,👽;other,❓;,❓;,❓;
1430440,2023-11-08,"Another problem! OK, another problem! I hope you can help me. Thunderbird wouldn't load so I reloaded it and now ALL of my contacts are gone along with loads of",❓;,🛠;download-and-install,❓;,❓;,❓;
1430442,2023-11-08,"Word wrap not working correctly in Replies Hi - Using the 115.4.2 (64-bit) build of Thunderbird for Windows, I find that neither the text of the original messag",❓;,👽;other,❓;,❓;,❓;
1430444,2023-11-08,"No Longer receiving emails I am not receiving emails through Thunderbird since Oct 29, 2023.  I receive them through the Internet but not through Thunderbird.  ",❓;,👽;other,❓;,❓;,❓;
1430445,2023-11-08,115.4.2 (64-bit) does not show red notification dot for new mail on taskbar. 115.4.2 (64-bit) does not show a red notification dot for new mail on taskbar icon.,🪟;Windows 10,🔩;customize,❓;,❓;,❓;
1430446,2023-11-08,"Lost contacts Every time I update or upgrade, I lose all my contacts. I have resorted to creating a spreadsheet and retype all pertinent info into that spreadsh",❓;,🚧;fix-problems,❓;,❓;,❓;
1430449,2023-11-08,"11/06 UPDATE FOR V115 SCREWED UP ONE OF MY ACCOUNTS INBOX On the morning of 11/07/2023, when I brought up TBird, it duplicated the whole Inbox of my second emai",❓;,🚧;fix-problems,📮;GMAIL,❓;,❓;
1430451,2023-11-08,Email won't forward or reply I need to be able to reply and forward to emails. Since the upgrade it won't do either. ,❓;,👽;other,❓;,❓;,❓;
1430453,2023-11-08,"My toolbars are missing I am missing my top customizable toolbar, the spaces toolbar and a toolbar which is added through an installed add-on (QuickFolders).  I",🪟;Windows 11,🔩;customize,❓;,❓;,❓;
