id,created,updated,title,content,creator,is_spam,num_helpful,num_unhelpful
1584903,2023-06-10 16:55:51 -0700,2023-06-10 16:55:51 -0700,,"<p>Options on Windows and Preferences on Mac and Linux is now Settings on all supported platform including mobile. </p> <ul><li><a href=""https://support.mozilla.org/en-US/kb/firefox-options-preferences-and-settings"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/firefox-options-preferences-and-settings</a> </li></ul> <p>Do you have another mouse to try in case there is a problem with the right mouse button&nbsp;? </p><p>Do you see any toolbars at all&nbsp;? </p> <ul><li><a href=""https://support.mozilla.org/en-US/kb/restore-menu-bar-firefox"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/restore-menu-bar-firefox</a> </li></ul> <p>Make sure Firefox isn't set to run in Full Screen mode (press F11 or Fn + F11 to toggle; Mac: Command+Shift+F). </p> <ul><li><a href=""https://support.mozilla.org/en-US/kb/how-make-firefox-and-websites-go-full-screen"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/how-make-firefox-and-websites-go-full-screen</a> </li></ul> <p>When you are in Full Screen mode, hover the mouse to the top of the screen to make the Navigation Toolbar and Tab bar appear. You can use one of these to leave Full Screen mode: </p> <ul><li>press the F11 key </li><li>click the Maximize button at the right end of the Tab bar </li><li>click the Full Screen button in the ""3-bar"" Firefox menu button drop-down list </li><li>right-click empty space on a toolbar and click ""Exit Full Screen mode"" </li></ul>",cor-el,false,0,0
1584902,2023-06-10 16:43:34 -0700,2023-06-10 16:43:34 -0700,,"<p>Hi there! </p><p>Just so you know, I also have this problem. In Chrome thou the camera doesn't work either. </p><p>I will add that I'm on Windows 11. I also have a basic Logitech C310 webcam and that all the drivers are up to date (I even tried to install older drivers and they got updated). </p><p>I just made a complete clean install of Windows 11. Before I did, I was on a Windows 11 upgraded from Windows 10 and everything was working before my reinstall. </p><p>I already made a Google Chrome bug report and I'm still waiting for a reply. </p><p>Hope Mozilla will be faster at answering to our problem. </p><p>Thanks! </p>",mrianick,false,0,0
1584901,2023-06-10 16:11:04 -0700,2023-06-10 16:11:04 -0700,,"<p>Can you attach a screenshot? </p> <ul><li><a href=""https://support.mozilla.org/en-US/kb/how-do-i-create-screenshot-my-problem"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/how-do-i-create-screenshot-my-problem</a> </li><li>use a compressed image type like PNG or JPG to save the screenshot </li></ul> <p>Are you using a proxy or VPN? </p><p>You can check the connection settings. </p> <ul><li>Settings -&gt; General -&gt; Network: Connection -&gt; Settings </li></ul> <p>If you do not need to use a proxy to connect to internet, select ""No Proxy"" if ""Use the system proxy settings"" or one of the others do not work properly. </p><p>See ""Firefox connection settings"": </p> <ul><li><a href=""https://support.mozilla.org/en-US/kb/websites-dont-load-troubleshoot-and-fix-errors"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/websites-dont-load-troubleshoot-and-fix-errors</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/firefox-cant-load-websites-other-browsers-can"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/firefox-cant-load-websites-other-browsers-can</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/firefox-and-other-browsers-cant-load-websites"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/firefox-and-other-browsers-cant-load-websites</a> </li></ul> <hr> <p>You can try these steps in case of issues with webpages: </p><p>You can reload webpage(s) and bypass the cache to refresh possibly outdated or corrupted files. </p> <ul><li>hold down the Shift key and left-click the Reload button </li><li>press ""Ctrl + F5"" or press ""Ctrl + Shift + R"" (Windows,Linux) </li><li>press ""Command + Shift + R"" (Mac) </li></ul> <p>Clear the Cache and remove the Cookies for websites that cause problems via the ""3-bar"" Firefox menu button (Settings). </p><p>""Remove the Cookies"" for websites that cause problems: </p> <ul><li>Settings -&gt; Privacy &amp; Security<br>Cookies and Site Data: ""Manage Data"" </li></ul> <p>""Clear the Cache"": </p> <ul><li>Settings -&gt; Privacy &amp; Security<br>Cookies and Site Data -&gt; Clear Data -&gt; [X] Cached Web Content -&gt; Clear </li></ul> <ul><li><a href=""https://support.mozilla.org/en-US/kb/clear-cookies-and-site-data-firefox"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/clear-cookies-and-site-data-firefox</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/how-clear-firefox-cache"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/how-clear-firefox-cache</a> </li></ul> <p>Start Firefox in <b>Troubleshoot Mode</b> to check if one of the extensions (""3-bar"" menu button or Tools -&gt; Add-ons -&gt; Extensions) or if <b>hardware acceleration</b> or if <b>userChrome.css/userContent.css</b> is causing the problem. </p> <ul><li>switch to the Default System theme: ""3-bar"" menu button or Tools -&gt; Add-ons -&gt; Themes </li><li>do NOT click the ""Refresh Firefox"" button on the Troubleshoot Mode start window </li></ul> <ul><li><a href=""https://support.mozilla.org/en-US/kb/diagnose-firefox-issues-using-troubleshoot-mode"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/diagnose-firefox-issues-using-troubleshoot-mode</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/troubleshoot-extensions-themes-to-fix-problems"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/troubleshoot-extensions-themes-to-fix-problems</a> </li></ul> <ul><li><a href=""https://support.mozilla.org/en-US/kb/enhanced-tracking-protection-firefox-desktop"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/enhanced-tracking-protection-firefox-desktop</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/smartblock-enhanced-tracking-protection"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/smartblock-enhanced-tracking-protection</a> </li><li><a href=""https://support.mozilla.org/en-US/kb/trackers-and-scripts-firefox-blocks-enhanced-track"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/trackers-and-scripts-firefox-blocks-enhanced-track</a> </li></ul>",cor-el,false,0,0
1584900,2023-06-10 16:08:40 -0700,2023-06-10 16:08:40 -0700,,"<p>I'm not sure what went wrong. Can you attach a screenshot of this notice&nbsp;? </p><p>In case of issues, you can try to login to the Firefox Account via this website. </p> <ul><li><a href=""https://accounts.firefox.com/signin"" rel=""nofollow"">https://accounts.firefox.com/signin</a> </li><li><a href=""https://accounts.firefox.com/settings"" rel=""nofollow"">https://accounts.firefox.com/settings</a> </li></ul>",cor-el,false,0,0
1584899,2023-06-10 16:06:29 -0700,2023-06-10 16:06:29 -0700,,"<p>Yay for you! You did it! </p><p>Ok, now let's Save that picture as a file. Click File at the top of the Paint window, and choose Save As.... Choose JPEG Picture, and then, .... you have to choose a location to put that JPEG Picture in. If you can navigate to Desktop, that would be easiest, perhaps. Just save it somewhere you can find it. </p><p>Then when you are ready to post a reply HERE, go down to Add images (optional) and click Browse, and then see whether you can find that JPEG Picture you saved, and click its name, and click Open, and the picture will be part of your Reply. Click Post Reply. </p><p>If you run into any problems, just tell us what happened, and we can start from there and get you going again. </p><p>I'm on Eastern Time, and it's after 7 here, so I think I'll quit for tonight, but I'll be back tomorrow, so post that Reply and I'll pick it up and reply to it in the AM. </p><p>Don't worry about it. We'll get there. </p>",danawilson001,false,0,0
1584898,2023-06-10 15:44:10 -0700,2023-06-10 15:44:10 -0700,,"<p>Thanks, Matt. This did NOT do what I need. I still have 111 (I counted them since posting) messages with same subject line and date/time. So I'm guessing this is deeper than the indexing? </p><p>The message contents are different, so there are in fact the 111 original messages, but they are incorrectly labeled.  </p><p>(Folder--local ""Sent Items""--contains total of 331 messages, same number as original. Errant messages are part of a series I've sent out, and Subject of each starts with same content. They also go to several Bcc's. It's sort of a newsletter.) </p><p>So seems like I need a different path of import or a different re-indexing. </p><p>I've looked at help items for export/import, but they are from like TB 38, so I don't know how accurate they are.  (  <a href=""https://support.mozilla.org/en-US/kb/switching-thunderbird#w_importing-from-outlook-and-eudora"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/switching-thunderbird#w_importing-from-outlook-and-eudora</a>  ) Import seemed to work other than this folder (but I haven't gone through each and every folder--I have checked and found all folders have the right number of messages, but that's true for Sent Items also). </p><p>As a last resort, I might end up asking how I can modify Subject and date/time on individual messages and manually correct each one! </p>",mdforme,false,0,0
1584897,2023-06-10 15:37:41 -0700,2023-06-10 15:37:41 -0700,,<p>I had forgotten to hit Paste.  It's there now. </p>,kathynez,false,0,0
1584896,2023-06-10 15:34:05 -0700,2023-06-10 15:34:05 -0700,,<p>Wait!  I think it took it.  I could see it behind the big white box on the Paint screen.  Something just came up and I clicked on Desktop.  I left the Paint program open. </p>,kathynez,false,0,0
1584895,2023-06-10 15:31:25 -0700,2023-06-10 15:31:25 -0700,,<p>I found Paint.  I opened it and right-clicked on it.  Nothing came up so I went back to Thunderbird and tried the screen print again and then went back to Paint and right-clicked on the white area again and nothing appeared. </p>,kathynez,false,0,0
1584894,2023-06-10 15:12:55 -0700,2023-06-10 15:12:55 -0700,,<p>Thank you </p>,Payahbleh,false,0,0
