id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1431234,2023-11-17,"thunderbird Before TB 115, when viewing my Inbox, if I pressed Enter with a message selected, it always opened it, or so I believe. Now, sometimes it opens it, ",🐧;Ubuntu;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-16 17:18:37 -0800
1431235,2023-11-17,Uwierzytelnianie dwuskładnikowe Jak zrealizować zapisy uwierzytelnia 2-etapowego korzystając z klienta poczty elektronicznej? Niestety mamy problem z realizacją,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-11-16 17:19:18 -0800
1431236,2023-11-17,"Show list emails of certain dates I would like to find all my emails dated October 25, 26 or 27, from any of the folders, ideally presented as one list. Is ther",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-16 17:22:12 -0800
1431238,2023-11-17,"Elektronska pošta se mi ne prikaže Pozdravljeni, Modzila mi ne prikazuje elektronskih sporočil na točno določeno nit, prikaže se mi samo siv simbol kot prejeto ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-16 17:26:50 -0800
1431239,2023-11-17,Не отправляются письма Не отправляются письма ни из одного адреса через приложение Thunderbird. SMTP протоколы настроены правильно. Один из адресов использует с,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-16 17:31:22 -0800
1431241,2023-11-17,"Thunderbird too slow Hello, since two days, my thunderbird is reaaallly slow.  Scrolling throught the messages, or especially when I start typing a reply or new",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-16 17:57:37 -0800
1431242,2023-11-17,"Restore from a Copied IMAP Folder Good day, When moving email servers from Webmail to Zoho, I logged in to all the emails I wanted to backup/copy on my machine ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-16 18:23:27 -0800
1431243,2023-11-17,"""Show new message"" Option for the folders does not work properly for subfolders I have set up several folders and subfolders, with auto filtering in my Thunderb",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-16 18:34:10 -0800
1431244,2023-11-17,"Where email bodies are saved inside thunderbird profile directory? Hi, I have an Office 365 account synchronized. I see inside the thunderbird profile directory",❓;;os:unknown,👽;other;t:other,💌;Office 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-16 18:36:48 -0800
1431245,2023-11-17,"Thunderbird Microsoft sperrt meine Mailadresse, weil offensichtlich Cookies im Browser nicht zugelassen werden ??? ",🪟;windows-11;os:win11,❓;;t:unknown,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,desktop;cookies;windows-11;,2023-11-16 19:49:45 -0800
