id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422613,2023-08-31,"Impostazioni stampa ""piè di pagina"" ed altre informazioni Salve a tutti,  è possibile personalizzare l'intestazione ed il piè di pagina delle stampe delle mail ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-30 17:18:11 -0700
1422615,2023-08-31,"Unable to send emails. Have used program for many years -""Send"" and some other words changed to shadow print Email sending has worked for long time. Next time c",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-30 17:52:59 -0700
1422625,2023-08-31,Restoring I have Backed up my whole system with Windows 11 Backup (because I was having problems with Edge and Windows Explorer) and saved the backup to another,🪟;Windows 11;os:win11,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-30 19:07:01 -0700
1422626,2023-08-31,"Dark theme prevents reading highlighted code in messages When I use a dark theme, the highlighted code in email messages are washed out all white and unreadable",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-30 20:34:59 -0700
1422630,2023-08-31,"Thunderbird Dobrý den, mám problém s Thunderbirdem. Skoro týden se mi nestahuje pošta a vpravo dole mi vždy vyskočí hláška ""Nelze se připojit na IMAP server. Pr",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-30 22:55:43 -0700
1422631,2023-08-31,"INBOX INUNDATED My inbox is a mess. It's suddenly full of emails I've deleted, emails moved from folders back into my inbox, duplicated emails and hundreds of j",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 00:06:24 -0700
1422633,2023-08-31,"Recovering disk space With Thunderbird 115.1.1 (64-bit), are folders Cache and Cache.trash* still used? ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 00:10:46 -0700
1422640,2023-08-31,"riparazione file posta Buongiorno,  ho riscontrato la mancanza di alcune mail nell'account di posta in entrata (configurata come pop). Ho fatto la riparazione d",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 01:17:13 -0700
1422645,2023-08-31,"Codice di errore: PR_CONNECT_RESET_ERROR Salve Ho un desktop, AMD A10-7800 Radeon R7, 12 Compute Cores 4C+8G    3.50 GHz, SO Windows 10 Home 64Bit ver. 22H2 190",🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,🇰;Kaspersky;av:kaspersky,❓;;uc:unknown,download-and-install_1;,2023-08-31 02:18:48 -0700
1422647,2023-08-31,"timeout after END-OF-MESSAGE after upgrade to supernova Hi, i've upgraded to supernova on my linux (Oracle Linux Server release 7.9) and now if i send an email ",🐧;linux;os:linux,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;tb115;,2023-08-31 02:59:12 -0700
1422648,2023-08-31,I did  CTRL + Shift + M  and it emptied my inbox and I CAN'T get it to return to normal.  Please help me I did  CTRL + Shift + M  and it emptied my inbox and I ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 03:04:33 -0700
1422651,2023-08-31,"Aikakatkaisu Lähetettäessa viestiä ohjelma aikakatkaisee, ennen kuin lähetetty viesti on kopioitu lähetetyt kansioon. ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 04:25:26 -0700
1422653,2023-08-31,"autenticação Como resolver ""autenticação no servidor imap.hostinger.com com o usuário falhou"", já fiz alguns procedimentos da internet mas nada resolveu. ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 04:38:01 -0700
1422655,2023-08-31,"Email küldés gmail fiók felé nem működik Sziasztok, Saját domaint használunk, és a kimenő levelek nem mennek el a gmail fiókokba, más szolgáltatók email címére ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-31 05:14:06 -0700
1422659,2023-08-31,"No encuentro en la CONFIGURACIÓN DE CUENTA, la opción : OPCIONES DE CUENTA- - - - Donde está ? 31/08/2023 -HOLA.  > VÍ ESTA PREGUNTA, EN ESTE FORO : Tengo vario",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 06:02:48 -0700
1422660,2023-08-31,"Which email providers are compatible with Thunderbird? I recently installed Thunderbird and tried connecting all of my email accounts, but could only get gmail ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-31 06:17:21 -0700
1422662,2023-08-31,Mozilla Thunderbird Font problem on incoming messages:  I use Thunderbird on two computers. On Win 7 my font is fine.  On Win 10 it has gotten messed up and is ,🪟;Win 7;os:win7,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 06:42:21 -0700
1422663,2023-08-31,Can't delete folder tree named '/' I have a mystery folder tree in Thunderbird which is called '/' with two blank folders under it which I cannot delete or rena,🐧;Linux;os:linux,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 07:03:13 -0700
1422666,2023-08-31,Thunderbird not able to connect to mail server Scenario: A new mail user account (mailbox) on mail server. Webmail is able to use the new account. My phone (Hua,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 07:43:50 -0700
1422668,2023-08-31,Disabling Junk  Filters I have tried to disable the optionsfor Thunderbird  junk filtering with no luck. I still get the yellow bar at the top of the body of th,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-31 08:18:44 -0700
1422672,2023-08-31,"I can't SEND emails, I can receive them. Using Thunderbird. Since last night I can't send emails. It keeps telling me ""connection to Outgoing server (SMTP) mail",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 08:57:34 -0700
1422674,2023-08-31,Updated Thunderbird will not send or receive emails. Thunderbird 115.2.0 was installed on my computer yesterday. Now I can't send or receive email messages. Whe,❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 09:04:16 -0700
1422681,2023-08-31,Local folders deleted messages don't end up in Trash - Default local trash folder misidentified I have a number of folders and sub folders created in Local Fold,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 10:24:04 -0700
1422682,2023-08-31,"thunderbird e gmail - impossibile autenticarsi sul server impossibile autenticarsi sul server. la configurazione, il nome utente o la password potrebbero essere",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-31 10:36:44 -0700
1422683,2023-08-31,"When I filter junk main to delete I WANT IT DELETED not put in trash When I set up a filter for junk mail, it asks ""When do you want to move""  I DO NOT want to ",🪟;windows-10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,desktop;other;needsinfo;windows-10;firefox-1160;,2023-08-31 10:54:12 -0700
1422685,2023-08-31,"attachments I am using BetterBird which runs well. I have a question about attachments. I am using the ""initially display attachments"". I was wondering if I can",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-31 11:09:03 -0700
1422688,2023-08-31,Need server settings for aol verizon.net pop3 Need server settings for aol verizon.net email. Account was performing  normally but stopped downloading new messa,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;verizon;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-31 11:37:47 -0700
1422694,2023-08-31,Thunderbird email I use a thunderbird email for my business and I received notice that thunderbird can’t send mail to gmail recipients. Can I please get help. ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-31 13:00:44 -0700
1422698,2023-08-31,Profile manager does not start up I have 4 profiles for 4 email addresses. I think someone in my household clicked default for one account. It no longer starts ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-31 14:36:52 -0700
1422701,2023-08-31,attachments I would like the attachments to show in line with the save all button. No dropdowns. I have my css file setup for customizing. ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-31 15:16:50 -0700
1422702,2023-08-31,newbie here. I want to open my Thunderbird email when I open my browser automatically. I can do this easily with gmail but I can not get Thunderbird to open whe,❓;;os:unknown,🔩;customize;t:customize,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-31 15:19:06 -0700
1422705,2023-08-31,Impossibile autenticarsi sul server - IMAP GMAIL Ho disintallato thunderbird dopo che ha iniziato a non scaricare più la posta dal server POP3 di Gmail. Ho elim,❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-31 15:48:13 -0700
1422708,2023-08-31,"Random text in some emails In the past week or two, if I open a recently received message a second time, all I get is random text in the message. I can't see th",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-31 16:22:10 -0700
