id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1429947,2023-11-04,Syncing Address Book With Google Contacts I want the Thunderbird Address Book to automatically sync with my Google contacts. What is the best way to accomplish ,❓;,👽;other,❓;,❓;,❓;
1429948,2023-11-04,Restore access to email account I have two accounts with sbcglobal.net.  One is still working when I use Mozilla Thunderbird to access my emails.  The other jus,❓;,👽;other,🇾;sbcglobal,Ⓜ;McAfee,❓;
1429954,2023-11-04,CHANGE I don't want to upgrade to the new version of THUNDERBIRD ,❓;,👽;other,❓;,❓;,❓;
1429956,2023-11-04,"Where is the Search Function? Before the ""New"" Tbird, there used to be a place to type in search terms, but now it's gone. Is it hidden somewhere? And please do",❓;,👽;other,❓;,❓;,❓;
1429957,2023-11-04,Thunderbird Tools menu has Run Filter on Folders  and Delete Mail Marked as Junk  greyed out. Thunderbird Tools menu has Run Filter on Folders  and Delete Mail ,❓;,👽;other,❓;,❓;,❓;
1429958,2023-11-04,How do I stop the automatic syncronization of a paticular folder? I don't like the notification icon appearing by the junk email folder because I don't like bei,❓;,🔩;customize,❓;,❓;,❓;
1429959,2023-11-04,"All Dates Are Highlighted in Min-Calendar I'm currently running Thunderbird version 115.4.1.  All dates in the mini-calendar have dots below them, even dates on",❓;,📅;calendar,❓;,❓;,❓;
1429961,2023-11-04,Password I recently reset my desk top and after that  my thunderbird will not open without a password that I have not got. I need a simple way to find the passw,❓;,🛠;download-and-install,❓;,🇪;eset,❓;
1429962,2023-11-04,"Thunderbird 115 message header Reply, Forward buttons only show in Troubleshoot Mode [SOLUTION provided below] [Update: It seems a lot of people are having trou",❓;,👽;other,❓;,🇪;eset,🪛;userChrome
1429967,2023-11-04,"Thunderbird 115.4.1 (64-Bit) Supernova, OS: Windows 10-64-Bit Hello, Since the update to Thunderbird Supernova from version 102 upwards, emails in several email",🪟;Windows 10,🚧;fix-problems,❓;,❓;,❓;
1429969,2023-11-04,"Aggiunta nuovo account in Thunderbird Hi all, I am a new user of Thunderbird, Version 115.4.1 (64-bit) on Windows 11, free license. The first Gmail account was ",🪟;Windows 11,👽;other,📮;Gmail,❓;,❓;
1429970,2023-11-04,Moving profile folder Can someone tell me a step by step method of moving the profile folder from the c drive to the d drive? The reason is that I am migrating ,❓;,🛠;download-and-install,❓;,❓;,❓;
1429973,2023-11-04,In Win 10 Thunderbird continually wants to download version 7.2.2.2 As Windows 10 is opening a pop-up message appears from Thunderbird saying it wants to open T,🪟;Windows 10,🛠;download-and-install,❓;,❓;,❓;
1429974,2023-11-04,Ripristinare account Salve Vi scrivo perché non riesco più a configurare il seguente indirizzo di posta elettronica: ufficioverbali@comune.paterno.ct.it Credo d,❓;,👽;other,💌;live.com,❓;,❓;
1429978,2023-11-04,Problems With Upgrade 115.31 Are Far from Over - Unified Folders and More This bug was reported 28 days ago and has yet to be resolved.  https://bugzilla.mozill,❓;,👽;other,❓;,❓;,❓;
1429980,2023-11-04,I have lost the 'get messages' button How do I retreive the 'get messages' button? ,🪟;windows-11,🔩;customize,❓;,❓;,❓;
1429981,2023-11-04,How do I find My Content in this support platform? This option does not show when I click on my account in the top right of the screen. ,❓;,👽;other,❓;,❓;,❓;
1429982,2023-11-04,Last version of thunderbird didn't remember the last mail selected when I change the folder Hi! the last version of thunderbird (115.4.1 on Windows 10) don't re,🪟;Windows 10,👽;other,❓;,❓;,❓;
1429983,2023-11-04,"Thunderbird scrolls seemingly randomly when deleting emails on Ubuntu / Thunderbird 115.4.1 Latest Ubuntu, intel cpu Thunderbird 115.4.1 This problem has been g",🐧;Ubuntu,🚧;fix-problems,❓;,❓;,❓;
1429985,2023-11-04,Is there a way to turn on pagination? Or a plan to implement it? I have never needed to see every single email in my inbox when I first open Thunderbird but I'd,🪟;Win10,🚧;fix-problems,❓;,❓;,❓;
1429987,2023-11-04,"käyttöliittymä miten saa käyttöliittymän pienemmäksi. vaikea lukea kun menee näytön yli ja fontti on suuri. edellinen versio oli parempi,saako sen takaisin. ",❓;,🔩;customize,❓;,❓;,❓;
1429988,2023-11-04,"Menu Bar Text & Icons Customization Problem When I right click on the menu bar and choose ""customize"" there is a ""button style"" selection at the bottom of the p",❓;,🔩;customize,❓;,❓;,❓;
1429990,2023-11-04,"OAuth2 access to gmail fails in Thunderbird I have been successfully using Thunderbird (TB) with gmail for years, including via OAuth2 after gmail started requi",🪟;Windows 10,🔏;privacy-and-security,📮;gmail,❓;,❓;
1429993,2023-11-04,Line between messages is too thin Hi! I would like to change a parameter in TB appearance but cannot find an appropriate theme for that. My goal is to change th,❓;,🔩;customize,❓;,❓;,🪛;userchrome
1429997,2023-11-04,"Can't download messages The last successful attempt to download messages from my ISP was on 10/30/2023.  The symptoms are that the it says ""Mail: Downloading me",🐧;Linux,👽;other,❓;,❓;,❓;
1430005,2023-11-04,"TB Supernova v115.4.1 - Make download mail button larger? I am using Supernova 115.4.1 and wanted to see if there was a way to make the very small ""cloud"" downl",❓;,🔩;customize,❓;,❓;,❓;
1430008,2023-11-04,"Can emptying unified Trash folder be made to work the same as emptying unified Junk folder? I'm running Thunderbird 115.4.1 (64-bit), using Unified Folder optio",❓;,🔩;customize,❓;,❓;,❓;
1430011,2023-11-04,"Non-alphabetical order of subfolders in ""Local Folders"" Before I had the subfolders in ""Local Folders"" arranged to my liking. Now after thunderbird upgrade to 1",❓;,🔩;customize,❓;,❓;,❓;
1430019,2023-11-04,get top bar menu back How to get top button menu bar back. ,❓;,🔩;customize,❓;,❓;,🪛;userChrome
1430022,2023-11-04,"roll back to older version Thunderbird recently updated to 115.4.1 (64-bit) for my Windows computer I HATE IT, I can't find anything.  I can't have it get email",❓;,👽;other,❓;,❓;,❓;
1430024,2023-11-04,Date/Time display within an email on MAC I am new to Thunderbird and I run a mac mini using macOS Catalina 10.16.7 with Thunderbird v115.4.1. how do I get the d,🍎;Catalina,👽;other,❓;,❓;,❓;
1430029,2023-11-04,"tag and write buttons I see a lot of questions about the missing tag and write buttons, but I don't see any answers.  I have the same questions.  Where did they",❓;,🔩;customize,❓;,❓;,❓;
1430031,2023-11-04,After installation to 115.4.1 for Thunderbird get SMTP Timeout messages. Messages send ok. Timeout message(s) show up after message(s) sent. Began after update ,❓;,🚧;fix-problems,❓;,❓;,❓;
