id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1417043,2023-06-29,deleting and unsubscribing I cannot get  emails deleted or unsubscribed ,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-28 18:54:42 -0700
1417052,2023-06-29,my password stopped working  and there is no way to fix it I have an account johnmitchell691@outlook.com had is for year or two and today it stopped working can,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-28 22:27:45 -0700
1417056,2023-06-29,autoanswer Hi Where and how can i get auto answer function in thunderbird mail? Im going to vacation and need to answer customes....all the best /Stefan Eriksso,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-29 00:39:16 -0700
1417057,2023-06-29,"visualizzazione e salvataggio file da thunderbird da un account non possibile, dall'altro si buongiorno, da un momento all'altro il comportamento di thunderbird",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇦;Avira;av:avira,❓;;uc:unknown,fix-problems;,2023-06-29 00:59:57 -0700
1417058,2023-06-29,"ho un problema Salve. Dopo il recente disservizio creato da Virgilio.it, capita che sul mio client Thunderbird ver.102.12.0 (64bit) installato sul pc fisso Wind",🪟;Windows10;os:win10,👽;other;t:other,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-29 01:07:49 -0700
1417068,2023-06-29,I CANT  SEND MESSAGES  TO GMAIL    AND MY MESSAGES GOES TO SPAM Dear  Team .   I have been unable to send email messages to Gmail account holders using my thurd,🪟;windows-11;os:win11,👽;other;t:other,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,desktop;other;windows-11;firefox-1140;firefox-11402;,2023-06-29 05:48:57 -0700
1417069,2023-06-29,Unable to send email messages to Gmail I have been unable to send email messages to Gmail account holders using my thurderbird platform   What can i do  to rect,🪟;windows-11;os:win11,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,desktop;other;windows-11;firefox-1140;firefox-11402;,2023-06-29 05:50:31 -0700
1417081,2023-06-29,"Thunderbird - unavailable to add another wordlist for the spell check Hi, I'm unable to add a second language/wordlist for the spell check in my Thunderbird acc",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-29 07:31:43 -0700
1417083,2023-06-29,thunderbird cant send emails ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;needsinfo;,2023-06-29 07:48:35 -0700
1417087,2023-06-29,Return mails I manage 2 gmail addresses for my wife and myself. Lately when recipients respond to my mail the address is changed to my wife's and i miss these m,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-29 08:11:59 -0700
1417088,2023-06-29,"Google Task sync with Thunderbird I am using the Provider for Google Calendar addon, but have always had the problem that when I flag an item on a Google Task l",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-06-29 08:14:58 -0700
1417098,2023-06-29,Deletion options absent In an archived thread : IMAP mail account...   Server Settings...     When I delete a message:    Nonexistent.  I want to specify what i,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-29 10:38:49 -0700
1417100,2023-06-29,"Adding additional email accounts I have two questions. 1) I have several email accounts, on various domains with various hosts, that I want to access with Thund",🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-29 10:56:47 -0700
