id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1409863,2023-04-03,how can I update an app in helper application list? word office 10 to office 2021? I need to update the app in Helper application list. Word office 2010 to word,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-02 17:19:18 -0700
1409864,2023-04-03,Can't delete folders I have two folders in my In Box that have pink icons that do not look like a folder. I can't delete them ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-02 17:20:28 -0700
1409875,2023-04-03,When i try to reply mail or write mail has image then thunderbird is closed. When i try to reply mail or write mail if mail has image then thunderbird is closed,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-03 00:26:21 -0700
1409888,2023-04-03,Thunderbird has vanised overnight Hi. I've logged onto my pc and the shortcuts to thunderbird say the program is no longer there! I cannot find the application ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-03 04:22:41 -0700
1409891,2023-04-03,Is it possible to filter messages from text in message source I would like to filter messages using text that appears only in the message source. Is it possible,❓;;os:unknown,👽;other;t:other,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-03 05:15:07 -0700
1409893,2023-04-03,cannot add a name to my bowls commitee list.it will not save it I am quite new to Thunderbirds. I have been able to set up my contacts for bowls members ok. I h,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-04-03 05:28:20 -0700
1409901,2023-04-03,"Set default program for ics attachements. Hello, so I keep getting emails with calendar invites. 1. Those are probably ICS files 2. Those files aren't shown as ",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-04-03 07:17:15 -0700
1409903,2023-04-03,email downloads freeeze with task/event reminder The process of downloading a large number of new emails in the morning is interrupted (frozen) by any Event/Tas,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-04-03 07:47:14 -0700
1409908,2023-04-03,cell phone Good morning: I need to be able to download Thunderbird (I have my emails with you)to my cell phone.  I am going to be out of Province this summer an,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-04-03 08:30:22 -0700
1409911,2023-04-03,"Use third party calendar application Hello, all I wanna be able to do is accept an invite to an event and choose the calendar I wanna store it. I use the google",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-04-03 08:37:36 -0700
