id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1420968,2023-08-12,"Can I create a list of ""correspondent"" mail IDs from a specific folder of emails? My email ID is with my ISP (Internet Service Provider). This email ID was crea",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-11 17:15:17 -0700
1420969,2023-08-12,"""Get messages"" for individual accounts (V 115.1.0) I just updated Version 102.14.0.0 to Version 115.1.0. Previously I was able to click on ""Get Messages"" and se",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-11 17:17:35 -0700
1420973,2023-08-12,why can't I send emails? I can receive emails but now cannot send emails on thunderbird ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-11 19:12:24 -0700
1420980,2023-08-12,sincronizzazione eventi e attività dell'account su due pc utilizzo lo stesso account di posta elettronica con thunderbird su due pc diversi. La posta è sincroni,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-12 02:42:42 -0700
1420983,2023-08-12,"Try import outlook data but stock to 33% Hello, I want to migrate my Outlook data to TB. I use the tools menu > import > outlook.  TB begin nice but after some ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-12 03:49:16 -0700
1420984,2023-08-12,Thunderbid + outlook email Good morning! My outlook e-mail was working fine with thunderbird. But I've to make a clean installation of my OS and for security re,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-12 04:46:45 -0700
1420987,2023-08-12,"Message Store Type options unavailable In ""Server Settings"" I found the ""Message Store Type"" option. At the moment it is set to ""File per folder (mbox)"" but it ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-12 06:28:33 -0700
1420995,2023-08-12,"Copy only Thunderbird messages (email) to a USB flash drive I want to copy all of my messages to a USB drive. I do not want ALL of the profile, just my messages",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-12 08:02:56 -0700
1420998,2023-08-12,"Opening archived message opens Compose, not new Reading tab/window When I double-click a message in my archive folder in Local Folders, it opens a Compose windo",🪟;Windows 11;os:win11,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-12 08:59:17 -0700
1420999,2023-08-12,"remove mailfence I had mailfence on Thunderbird ,but removed it when my trial ended ,but still a box comes up wanting a password for the server/ account, how do",🐧;Ubuntu;os:linux,🚧;fix-problems;t:fix_problems,📯;mailfence;m:mailfence,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-12 09:00:37 -0700
1421000,2023-08-12,"printing output text looking like dot matrix printing to PDF or laserjet, need fix Since recently updating Thunderbird to Version 115.0, and now also 115.1, on ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-12 09:05:34 -0700
1421002,2023-08-12,Maybe Switching from Outlook Can I easily test Thunderbird before deciding to end my Office 365 subscription? I would want to setup Thunderbird thoroughly with ,❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-12 09:17:27 -0700
1421006,2023-08-12,"Following OWL renewal, not receiving email I renewed OWL on 08/06 and today am not receiving emails on two smtp accounts I have sent emails to webmaster@billier",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-12 09:44:01 -0700
1421010,2023-08-12,"Increasing height of lines in message list I've searched the knowledge base already, and can't quite find the answer to my question.  I use Thunderbird 115.1.0 ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,🪛;userChrome;uc:unsupported_customization,customize;,2023-08-12 10:52:48 -0700
1421012,2023-08-12,Thunderbird Question Does Thunderbird offer phone support? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-12 11:03:20 -0700
1421013,2023-08-12,Cannot export one of my calendars I have three calendars that I use on one of Tbirds installed on one of my PCs. I can export two of them but not the third one.,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-12 11:24:59 -0700
1421019,2023-08-12,"flood of calendar ""changed on server"" pop-up notices How do I configure such that I don't require some sort of acknowledgement of IMAP and CALENDAR changes at a",🐧;Linux;os:linux,🔩;customize;t:customize,📮;GMAIL;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-12 12:25:26 -0700
1421020,2023-08-12,"seeking howto configure to use ""template"" email for routine messages How do I create template email messages then use them for routine correspondence?   Might I",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-12 12:34:06 -0700
1421021,2023-08-12,"Old IMAP messages are lost? Hi, Just changed email server provider maintaining both domain and mail addresses, however old messages are vanished. As I still can",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-12 12:47:07 -0700
1421023,2023-08-12,Convert email to calendar event missing in 115.1.0 What has happened to Convert email to calendar event in Thunderbird 115.1.0? Why is this basic function missi,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-12 13:11:07 -0700
1421025,2023-08-12,I can no longer send email from my thunderbird app with xfinity email accounts I can no longer send email from my Thunderbird app with xfinity email accounts. I,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-12 14:39:38 -0700
