id,created,updated,title,content,tags,product,topic,locale,answers,creator
1406811,2023-03-01 16:39:23 -0800,2023-03-01 17:36:41 -0800,Thunderbird program--TLS hibát ír ki-kézfogás ill. nem kompatibilisságot jelez--március 1-óta,"<p><strong>félkövér szöveg</strong>Március1-óta a Thunderbird programom--nem fogad levelezést, TLS hibát--ill. kézfogás vagy nem kompatibilisséget jelez. Mi a teendőm&nbsp;? Köszönettel. </p>",download-and-install_1;,thunderbird,installation-and-updates,hu,1568463;,kovari53
1406815,2023-03-01 17:04:59 -0800,2023-03-01 17:36:17 -0800,Beérkező e-mail leveleket nem kapom meg,"<p>Abban kérem a segítségüket, hogy nem kapom meg az e-mailre érkezett leveleimet. varganekisrebeka@t<a href=""http://-online.hu"" rel=""nofollow"">-online.hu</a> Köszönöm a segítséget. </p>",customize;,thunderbird,settings,hu,1568462;,varganekisrebeka
1406817,2023-03-01 18:02:20 -0800,2023-03-01 22:41:58 -0800,invio mail,"<p>manca la possibilità di ri-inviare una  mail . esempio&nbsp;: ho mandato una mail ad una persona o ad un gruppo , dopo l'invio mi accorgo che devo aggiungere o correggere la mail inviata , adesso cosa succede&nbsp;? devo riscrivere una nuova mail con tutti gli indirizzi . Invece se ci fosse la possibilità apro la mail inviata , la correggo e con tasto riinvio la mando via . </p>",other;,thunderbird,other,it,1568505;,renzo532
1406819,2023-03-01 18:20:51 -0800,2023-03-02 22:02:00 -0800,alice mail,"<p>buon giorno, ho installato Thunderbird per raggruppare le varie mail che ho (hotmail, gmail, Tim e Alice). l'unico problema e che inviando da Thunderbird la mail di Alice, quando entro nel relativo provider non trovo copia delle mail inviate. Ho provato di tutto vedendo anche vari suggerimenti trovati in rete... nullanpurtroppo&nbsp;:( </p>",other;,thunderbird,other,it,1568503;1568625;1568667;,pinna53
1406823,2023-03-01 19:09:07 -0800,2023-03-01 22:40:10 -0800,thunderbird non riesce ad inviare la posta.,<p>thunderbird non riesce ad inviare la posta (la ricezione é normale). Ovviamente con Alice. </p><p>messaggio: message refused </p><p>qualcuno può mandarmi i paretri esatti? Grazie </p>,fix-problems;,thunderbird,troubleshooting,it,1568504;,magnusteo
1406826,2023-03-01 19:54:15 -0800,2023-03-28 04:57:26 -0700,Backup and remove from server old mails selected by a timeframe,"<p>My aim is to save the email of three years ago (all but some folders) and then remove from the server (i use IMAP, Thunderbird 102.7.1 on Ubuntu). </p><p>I was a long time user of the Evolution mail client  and I was used to programmatically (python script at bash level) to create a directory with a lot of mbox files (one for each mail folder), then I archived it in a DVD. </p><p>I use Thunderbird in two accounts plus the local-folders, so pressing ""archive"" in thousands of different mail is not feasible. </p><p>I'm looking for a solution that take the starting date, the final date, and the list the folder involved (or the ones to skip): is there a function, a sequence of commands, or an add-on to do that? </p><p>Thanks </p>",other;,thunderbird,other,en-US,1572936;,federico8
1406829,2023-03-01 20:22:20 -0800,2023-03-01 20:22:20 -0800,Unable to move certain messages from one folder to another,"<p>I've noticed that I'm unable to move certain messages out of inbox to another folder (not to mention to a folder in another account). I've noticed that it happens (but it might not be a rule) with emails with heavy attachments (5 to 20 MB) or with emails with a very long subject. </p><p>I've tried to launch Thunderbird in safe mode, without addons, but that didn't help, I've also tried rebooting the PC and updating to the latest Thunderbird release to no avail. </p><p>Does anyone know how could I fix that? </p>",fix-problems;,thunderbird,troubleshooting,en-US,"",n7mafia
1406830,2023-03-01 20:30:10 -0800,2023-03-01 20:30:10 -0800,Problemas para acessar email,"<p>Bom dia! Espero encontrá-los bem. </p><p>Fazem 3 dias que aparece a seguinte mensagem ""Autenticação no servidor <a href=""http://smtps.uhserver.com"" rel=""nofollow"">smtps.uhserver.com</a> com o usuário cadastro@engmedi.com.br falhou"", não consigo enviar e-mails e nem receber. O que devo fazer? </p>",fix-problems;,thunderbird,troubleshooting,pt-BR,"",piovezanvitoria
1406831,2023-03-01 20:36:56 -0800,2023-03-01 20:36:56 -0800,"Thunderbird ""Error with account""","<p>Hi, On opening Thunderbird screen blinks about 3 times and this error comes up Error with account info@saveyouservices.com The account as above is being processed. Please wait until processing is complete to get messages. Click OK or X and Thunderbird freezes, the only way out is to to press and hold desktop on button. </p><p>Login again everything else is working except Tbird. </p><p>This has happened intermitantly since last Tbird update but now happens anytime I try to open Tbird. </p><p>Many Thanks for your help, Regards, </p>",fix-problems;,thunderbird,troubleshooting,en-US,"",Barrowboy
1406833,2023-03-01 21:11:19 -0800,2023-03-01 22:51:45 -0800,Account banned by policy,"<p>Although I van access my accounts on hostingsite '<a href=""http://one.com"" rel=""nofollow"">one.com</a>' via Firefox, in Thunderbird I get the message that my account is banned by policy. I am then asked to fill in my password for that account but when I do so it says it is not valed (while I can access that account with the same password via Firefox!). What is the case. My other accounts on Thunderbird do not have this problem. </p>",other;,thunderbird,other,en-US,1568495;1568508;,j.joosten1
