id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1423122,2023-09-06,"email not working Thunderbird asked for a password (unusual), clicked ""Enter password"" nothing happened. Not working any more so Googled for advice. Told to del",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-05 18:17:09 -0700
1423126,2023-09-06,Pop up in Thunderbird tells me to log into google account I have been using Thunderbird for many years. Today I started getting a pop-up telling be to log into ,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-05 19:21:47 -0700
1423127,2023-09-06,"Can't send or receive emails since last update Hello,  Since the last update I have been unable to send and receive emails from multiple email accounts.   I hav",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-09-05 21:08:25 -0700
1423128,2023-09-06,"Lost emails I have been using Tbird for many years. Recently I notice that I can open an email, say in a gmail account, then close it, and when I go to look for",❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-09-05 21:13:37 -0700
1423130,2023-09-06,"Thunderbird ""Signin"" & ""signout"" Can my Thunderbird access be within my Firefox account for ""Signin"" & ""signout""? Thanks, Steve ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-09-05 21:38:32 -0700
1423132,2023-09-06,"Changing IRC username in Thunderbird Hey, I'm trying to change my IRC username (not nickname) in Thunderbird but I can't find a way to do it. Would anyone know ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-05 22:00:38 -0700
1423138,2023-09-06,"Email Hi Thunderbird, my email account with Thunderbird is kenneth1@afrihost.co.za I am able to receive emails from Thunderbird but not from my provider which i",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 00:09:17 -0700
1423139,2023-09-06,"Cannot accept calendar invites: ""Processing message failed. Status: 80004005"" Hello, I am unable to accept calendar invites sent to me (I have my own email doma",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-09-06 00:20:12 -0700
1423140,2023-09-06,"Mail archiviate Salve, quando eseguo una ricerca nell'elenco delle mail individuate seleziono la mail di mio interesse per aprirla ma, purtroppo, non leggo null",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 00:44:42 -0700
1423145,2023-09-06,"Select Messages column in 115.2.0 The new Thunderbird (Supernova, 64-bit, 115.2.0) in Windows 11 is mostly working pretty well for me. However... the Select Mes",🪟;Windows 11;os:win11,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 01:52:22 -0700
1423148,2023-09-06,"mail.display_struct isn't applied to signatures When mail.display_struct = false, the content of the email shouldn't show *bold*, /italic/, etc… It doesn't seem",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-06 02:07:14 -0700
1423149,2023-09-06,It concerns Thunderbird on Mac. I have installed Addon Quicktext. The problem is that Thunderbird does not show html format on Mac. It does in Windows. The issu,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 02:07:23 -0700
1423152,2023-09-06,"Deleted folder Hi, I´m a swedish Thunderbird user since many many years back. But this problem has never happened to me before. I was renaming a folder, and tha",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 02:37:08 -0700
1423153,2023-09-06,"client posta thunderbird - richiesta password generale Buongiorno, dopo anni di utilizzo di thunderbird, stamane mi chiede di impostare la password generale. NO",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-09-06 02:41:08 -0700
1423154,2023-09-06,Duplictes get created in Folders that I created Hi I use a PoP account and save emails in folders that I create on my Local Hard disk. Over time or after an upd,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 02:57:00 -0700
1423155,2023-09-06,"Saving links for next emails How can I save the links I usually send in my emails?  On previous Thunderbird version the links was automatically saved, so when I",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 03:41:58 -0700
1423161,2023-09-06,Can't send messages to gmail users My wife and I run Linux Mint 21.1 on identical PCs. Our internet provider is zen.co.uk. We both have TB 102.15.0 and Italian ,🐧;Linux;os:linux,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 05:22:05 -0700
1423167,2023-09-06,"MY EMAILS   GETS TRUNCATED AND I DONT HAVE ENOUGH STORAGE Good  Morning ,  Some of my emails get truncated    and  I  get messages that my email  can not be com",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-09-06 05:45:48 -0700
1423168,2023-09-06,"Thunderbird Calendar - Change size of Catagory tag We are looking to use Catagories to book meetings in one of two boardrooms, but we find that the catagory tag",❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-09-06 06:10:25 -0700
1423172,2023-09-06,"Unread filter won't stay pinned in quick filter bar I just received the update for Thunderbird to 115.2.0, 64 bit. For some reason when I set the display to onl",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-06 06:51:56 -0700
1423178,2023-09-06,Message sent but a copy not placed in your sent folder (Sent) due to network of file access errors Hi there. I could really do with some advice about an annoyin,🪟;Windows 10;os:win10,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-09-06 08:03:19 -0700
1423180,2023-09-06,"Cannot get my email.  TB claims that more 1 connection.  But there is no other. Please tell me what I can do when TB claims that I have more than 1 connection, ",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-09-06 08:16:36 -0700
1423184,2023-09-06,"Local Folders selection when a folder is selected I make extensive use of the Local Folders in Thunderbird, using filters to place incoming messages in specific",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-06 08:34:21 -0700
1423193,2023-09-06,Reading Window is too small. How to make it bigger? In Thunderbird the window where I read my email is very very small. It will not get bigger when I use the tw,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-09-06 11:08:41 -0700
1423196,2023-09-06,"Security exceptions? Certificates? I can't send, receive, or reply in Thunderbird as of late last night. I've been using Thunderbird on this laptop since Februa",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-09-06 12:10:07 -0700
1423199,2023-09-06,why in the latest versionwhen selecting an email account to view it opens showing a random file. in list rather than at the new emails in old version I have fou,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 12:42:47 -0700
1423200,2023-09-06,"address book list problem When I edit an existing list in address book, adding new addresses and deleting old addresses, the list looks correct in address book.",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-09-06 12:57:18 -0700
