id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430996,2023-11-15,My Firefox screen has changed to an unusable mis-mash of stupid.  I have 3/4's of an inch to read my incoming emails.  I have changed nothing!  Did you? My Fire,❓;,👽;other,❓;,❓;,❓;
1430999,2023-11-15,Removing vertical lines in Reply I am using the same exact email but I change some data. Every time I click on Reply I get another vertical line on the left. Ho,❓;,👽;other,❓;,❓;,❓;
1431001,2023-11-15,"How to log in to more than 10 Gmail accounts I have about 100 gmails, is there any way to log them all into the thunderbird app? ",❓;,👽;other,📮;Gmail,❓;,❓;
1431006,2023-11-15,Témacsoport funkció kikapcsolása Jó napot kívánok! A Thunderbird 115.4.2. veziót használom. A legutolsó frissítés után aktiválódott a témacsoport funkció. Sajno,❓;,🔩;customize,❓;,🇪;eset,❓;
1431008,2023-11-15,Email Thunderbird will not download messages from Outlook? ,❓;,🛠;download-and-install,💌;Outlook,❓;,❓;
1431009,2023-11-15,"Using MacOS Big Sur 11.7.10 & Thunderbird 115.4.2, the downloading of emails from my server is slow, frequently taking hours, most frustrating when waiting for ",🍎;Big Sur,🚧;fix-problems,❓;,❓;,❓;
1431010,2023-11-15,Can't uninstall Thunderbird Portable Mozilla Thunderbird/Thunderbird/Thunderbird Portable don't appear in the Control Panel to be uninstalled. There's an uninst,❓;,👽;other,❓;,❓;,❓;
1431011,2023-11-15,Email Download failure Stopped downloading emails on November 9 2023.  Noticed an updated around midnight on Nov 8. Can send emails OK.  Disabled firewalls with,❓;,👽;other,❓;,❓;,❓;
1431014,2023-11-15,"Problemi spooler di stampa Buongiorno, stiamo riscontrando con diversi client problemi di stampa, ossia in fase di stampa da thunderbird lo spooler di stampa si",❓;,🚧;fix-problems,❓;,❓;,❓;
1431016,2023-11-15,"Autenticazione richiesta Da una settimana, quando apro Mozilla Thunderbird , compare il messaggio: ""Autenticazione richiesta - Mozilla Thunderbird"", https://web",❓;,🚧;fix-problems,❓;,❓;,❓;
1431017,2023-11-15,"Il filtro veloce è troppo lento Da quando ho fatto l'aggiornamento alla versione 115 il filtro veloce è lento, molto lento. Ho ricostruito tutti gli indici,comp",❓;,🚧;fix-problems,❓;,❓;,❓;
1431020,2023-11-15,conversazioni su mail non fa piu' vedere le conversazioni nelle mail e da qualche giorno non da piu' la possibilita' di fare la ricerca messaggi  per mittente-d,❓;,👽;other,❓;,❓;,❓;
1431023,2023-11-15,"THUNDERBIRD: Non c'è più la cartella ""cestino"" fra le ""cartelle locali"" Dopo un crash di sistema Windows 10, non vedo più la cartella Cestino fra le Cartelle Lo",🪟;Windows 10,🚧;fix-problems,❓;,❓;,❓;
1431024,2023-11-15,"spostare cartelle Buongiorno, chiedevo come potevo spostare le cartelle create in Thunderbird su un altro computer....ho letto solo di come si possa spostare il",❓;,🛠;download-and-install,❓;,❓;,❓;
1431025,2023-11-15,Text attachments are not displayed inline Thunderbird 115.4.2  I have Display attachments inline enabled and (after some fiddling) images are displayed as expec,❓;,👽;other,❓;,❓;,❓;
1431026,2023-11-15,"Calendar not working correctly - time allocation problem Hi, I will describe my procces of saving events in my calendat. This problem occured with a last softwa",❓;,📅;calendar,📮;GMAIL,❓;,❓;
1431027,2023-11-15,Show new mail alert for X seconds does not work I have enabled Show New Mail Alert for 360 seconds in setting on Thunderbird 115.4.2  but the notification alert,❓;,👽;other,❓;,❓;,❓;
1431030,2023-11-15,crash quando ridotto a icona il programma si blocca qualche minuto dopo averlo ridotto a icona. L'unico modo per proseguire è terminarlo da gestione attività. H,🪟;windows 8,🚧;fix-problems,❓;,❓;,❓;
1431031,2023-11-15,"Can't sort emails by date - Setting selections frozen on ""Subject"" under ""Sort By""  (115.4.2) Can't sort emails by date - Setting selections frozen on ""Subject""",❓;,🔩;customize,❓;,❓;,❓;
1431034,2023-11-15,"Esvaziar caixa de correio thunderbird Precisando esvaziar as caixas de correio da thunderbird, como faço? ",❓;,🚧;fix-problems,❓;,❓;,❓;
1431036,2023-11-15,"Adressbook Supernova Hello, With the new Supernova version 115.4.2, something in my address book no longer works as before.  “Display name instead of name from ",❓;,🔩;customize,❓;,❓;,❓;
1431037,2023-11-15,opened emails With the new update I need to actually click on and open and email to show that is was opened. It used to show that is was opened when I would tra,❓;,🔩;customize,❓;,❓;,❓;
1431042,2023-11-15,"Dark mode: Text not visible when replying to some HTML emails I use dark mode (Windows 10 Pro, Thunderbird 115.4.2 (64-bit)). Fresh installation, fresh profile.",🪟;Windows 10,🚧;fix-problems,💌;Outlook,❓;,❓;
1431045,2023-11-15,"Too many emails marked junk Suddenly, over the past few weeks,  a surprisingly large number of my incoming emails are marked as suspected junk.  This is not hel",❓;,👽;other,❓;,❓;,❓;
1431046,2023-11-15,How do I get Thunderbird 115 to give me just ONE notification tone only and an icon in the tray as it receives NEW email only? How do I get Thunderbird 115 to g,❓;,🔩;customize,💌;Outlook,❓;,❓;
1431047,2023-11-15,Mozilla Thunderbird Stopped Loading E-mails or Sending E-mails on 10-25-2023 Mozilla Thunderbird suddenly stopped loading e-mails from my ISP WOW! on my laptop ,❓;,👽;other,❓;,❓;,❓;
1431048,2023-11-15,"Reduce the density only for the context menu I am using TB 115 with a Relaxed density. Almost all the elements are fine for me, but the context menu space that ",❓;,🔩;customize,❓;,❓;,🪛;userChrome
1431049,2023-11-15,bug fix for email jumping in the preview window Where can I get the bug fix for email jumping in the preview window? I understand that the fix has been created ,🪟;windows 10,🚧;fix-problems,❓;,❓;,❓;
1431052,2023-11-15,"Composition setting:  expand 'tab' to spaces Hi there, I would swear that there used to be a Setting where you could have T-bird auto-expand the 'tab' character",❓;,👽;other,❓;,❓;,❓;
1431054,2023-11-15,"inforazione barra deu menu salve nel nuovo thunderbird il menu file, modifica etc, si trova sotto alla barra dei menu scarica posta, scrivi etc, come si fa a me",❓;,🔩;customize,❓;,❓;,❓;
1431059,2023-11-15,"Lost folder Good morning.  I upgraded from Windows 8 to 11 last week with a new computer.  On my old computer I added an Inbox file to the Local Folders, which ",🪟;Windows 8,🛠;download-and-install,❓;,❓;,❓;
1431064,2023-11-15,Email Issues After changing my Email Password on AOL/Verizon I can receive but not send Emails with Thunderbird. Went to saved Passwords on Thunderbird but no e,❓;,👽;other,💌;Verizon,❓;,❓;
1431066,2023-11-15,"No puedo visualizar la bandeja de correos enviados para mis cuentas de correo de microsoft 365 Hola, Tengo instalada la aplicación de escritorio de Thunderbird ",❓;,👽;other,💌;microsoft 365,❓;,❓;
1431068,2023-11-15,Cannot enable support for FIDO2 key in Thunderbird 115.4.3 (64-bit) I cannot use 2FA (or MFA) to log-in to my email account from Thunderbird.  I am Running Win1,🪟;Win10,🔩;customize,❓;,❓;,❓;
1431070,2023-11-15,"Unified Inbox not following filter rules Since upgrading to V 115 the unified inbox does not follow filter rules. If I go directly to the inbox of an account, t",🐧;Ubuntu,👽;other,❓;,❓;,❓;
1431071,2023-11-15,Being asked to donate and my email settings get changed I have donated. but I keep being asked to donate almost everyday. when that happens my email settings ch,❓;,👽;other,❓;,❓;,❓;
1431073,2023-11-15,Accept SSL Cert for SMTP Server Attempted to transfer profiles from one computer which was successful for everything except SMTP. I use Proton Mail for my domai,❓;,🛠;download-and-install,❓;,❓;,❓;
1431082,2023-11-15,Notification of new emails coming into my inbox Please tell me how to remove the notice of new emails that comes onto my computer when I'm working with a differ,❓;,🔩;customize,❓;,❓;,❓;
1431083,2023-11-15,"Sub folder missing Hi , im having 2 subfolder who completely disapear , not empty , just not there,  What i can do for refind this folder ? Please ",❓;,🚧;fix-problems,❓;,❓;,❓;
1431084,2023-11-15,how to add invite details to calendar I'm currently using Version 115.4.2 and for a couple of months I'm not able to see the the buttons Accept or Decline  when,❓;,📅;calendar,❓;,❓;,❓;
1431086,2023-11-15,Profile I have been having repeated Windows malfunctions. I consulted with Microsoft Tech Support and they recommended Windows Reset. I did so. Reset deleted Th,❓;,🛠;download-and-install,❓;,🇪;eset,❓;
1431087,2023-11-15,Problems with the new version of Thunderbird I am afraid that I am not at all happy with the new version of Thunderbird.  It may be that as I get used to it I w,❓;,🔩;customize,❓;,❓;,❓;
1431088,2023-11-15,User's folders misbehaving I have a client that hosts email and an old fashioned style webhosting company and uses thunderbird to tap the emails. It's mosty bee,❓;,🚧;fix-problems,❓;,❓;,❓;
1431090,2023-11-15,"Suddenly I can't send out any emails!!!!!!   Keep getting error code  "" out going mail cannot connect to server, as it was lost in the middle of transaction can",❓;,👽;other,❓;,❓;,❓;
1431092,2023-11-15,No Main Menu bar on Mac Thunderbird Have latest version (115.4.3) of Thunderbird running on MacBook Air.  There's no main menu bar (Like would be displayed on t,❓;,🔩;customize,❓;,❓;,❓;
