id,question_id,created,updated,title,content,creator,is_spam,num_helpful,num_unhelpful
1585207,1415716,2023-06-12 14:25:34 -0700,2023-06-12 14:25:34 -0700,,"<p>Click on the Bikeman folder name, go to the Menu bar (if you don't have it showing, press Alt and it will appear temporarily) click View, click Sort by, click Unthreaded. That'll do 'er. </p>",danawilson001,false,1,0
1585199,1415708,2023-06-12 12:23:49 -0700,2023-06-12 12:23:49 -0700,,"<p><a href=""https://addons.thunderbird.net/en-us/thunderbird/addon/empty-folder/"" rel=""nofollow"">https://addons.thunderbird.net/en-us/thunderbird/addon/empty-folder/</a> </p><p>Haven't tried it, but reviewers seem to think it does the trick. </p>",danawilson001,false,0,0
1585186,1415701,2023-06-12 09:57:14 -0700,2023-06-12 09:57:14 -0700,,<p>Are you able to login on the web with your browser? That would confirm whether your password is correct. </p>,davidsk,false,0,0
1585185,1415700,2023-06-12 09:55:54 -0700,2023-06-12 09:55:54 -0700,,"<p>i suggest you ask your email host provider for that information.  If you already have some documentation, post what you have and maybe someone here can suggest tweaks for it. </p>",davidsk,false,0,0
1585178,1415696,2023-06-12 08:55:18 -0700,2023-06-12 08:55:18 -0700,,<p>Recheck settings for incoming server and SMTP server to ensure they're for the same account. That would be my first thing to check. </p>,davidsk,false,0,0
1585170,1415685,2023-06-12 08:05:41 -0700,2023-06-12 08:05:41 -0700,,"<p>The icons in your shot are Thread, Starred, and Attachments. See my screenshot, and click the red-circled icon, and UNcheck Thread, Starred, and Attachments. Thread means you are showing conversations, not just individual posts. Starred means Important (to you). Attachments will appear next to a message that has one or more of them. </p><p>You might want to go into the Menu Bar's (press Alt if you don't see the Menu Bar on your screen; it will pop up) View, then Sort by, then click Unthreaded. That will get rid of the Thread icon, too. </p>",danawilson001,false,0,0
1585162,1415683,2023-06-12 07:19:37 -0700,2023-06-12 07:19:37 -0700,,<p>Non mi risulta che Thunderbird abbia questa funzione... </p>,@next,false,0,0
1585172,1415682,2023-06-12 08:14:40 -0700,2023-06-12 08:14:40 -0700,,"<p>Tasto menu &gt; Impostazioni &gt; Generale In fondo c'è la voce Utilizza l'accelerazione hardware se disponibile </p><p>(80 GB sono comunque davvero molti, assicurati che i singoli archivi sul disco non superino i 2 GB) </p>",@next,false,1,0
1585166,1415682,2023-06-12 07:45:14 -0700,2023-06-12 07:45:14 -0700,,<p>si 80 gb ma suddivisi in più account. Il sistema ha 16gb di ram su i7-6700 CPU. </p><p>Il pannello avanzate che indichi non lo trovo. Trovo solo impostazioni ma non opzione o avanzate </p>,valand65a,false,0,0
1585164,1415682,2023-06-12 07:26:20 -0700,2023-06-12 07:26:20 -0700,,"<p>80 GB su un sistema a 32bit? Quanta RAM? Che processore? </p><p>Hai provato a disattivare l'accelerazione hardware -&gt; <a href=""https://support.mozilla.org/it/kb/impostazioni-thunderbird-pannello-avanzate#w_impostazioni-avanzate"" rel=""nofollow"">https://support.mozilla.org/it/kb/impostazioni-thunderbird-pannello-avanzate#w_impostazioni-avanzate</a> </p>",@next,false,0,0
1585161,1415677,2023-06-12 07:09:00 -0700,2023-06-12 07:09:00 -0700,,<p>It was my pleasure to assist. You're quite welcome. </p>,davidsk,false,0,0
1585160,1415677,2023-06-12 06:56:53 -0700,2023-06-12 06:56:53 -0700,,"<p>OK, I tried playing around with some of the other sort options, then sorting by date again - this seems to have cured the problem, though it doesn't explain it, as the emails were definitely in the correct order before. One of life's little mysteries I suppose. Thank you for your help. Diana </p>",d_awdry,false,0,0
1585141,1415677,2023-06-12 04:54:15 -0700,2023-06-12 04:54:15 -0700,,<p>Then I don't understand your problem. Can you do a screenshot and explain it? Thank you. </p>,davidsk,false,0,0
1585139,1415677,2023-06-12 04:48:53 -0700,2023-06-12 04:48:53 -0700,,"<p>Sorting is not the problem, they are already sorted oldest to newest. </p>",d_awdry,false,0,0
1585137,1415677,2023-06-12 04:44:44 -0700,2023-06-12 04:44:44 -0700,,"<p>Look at top line of message list pane. It has words such as 'subject' 'from' 'date', etc. Click the 'date' to tell Thunderbird to sort by date. </p>",davidsk,false,0,1
1585173,1415666,2023-06-12 08:24:20 -0700,2023-06-12 08:24:20 -0700,,<p>We're not sure what you mean. Is Sophieprimaryworld in your Address Book? </p><p>Where do you see that address? What makes it show up (so it is not <em>hidden</em>)? </p>,danawilson001,false,0,0
1585116,1415666,2023-06-12 02:03:24 -0700,2023-06-12 02:03:24 -0700,,<p>I am not tech and do not know what to do </p>,talfourdstewart,false,0,0
1585149,1415665,2023-06-12 05:52:01 -0700,2023-06-12 05:52:01 -0700,,<p>Let us know where you're having difficulty and I'm sure someone can assist. </p>,davidsk,false,0,0
1585210,1415659,2023-06-12 14:34:58 -0700,2023-06-12 14:34:58 -0700,,"<p>What makes me think it's not that is it's a one way street. Once TB stops being able to copy to Sent it never recovers until I reinstall.  The clean reinstall has always worked, it's just that this time it only lasted for a few hours before it broke again. </p>",mark468,false,0,0
1585138,1415659,2023-06-12 04:46:43 -0700,2023-06-12 04:46:43 -0700,,<p>Reinstalling does not fix this. What you may have is a real server timeout issue. </p>,davidsk,false,0,0
1585177,1415652,2023-06-12 08:51:05 -0700,2023-06-12 08:51:05 -0700,,"<p>As @wisewiz indicated, there is no way to convert POP to IMAP (or the reverse), but you can have POP and IMAP accounts on the same version of Thunderbird. That is, you don't need a separate PC for the IMAP setup. </p>",davidsk,false,0,0
1585171,1415652,2023-06-12 08:12:58 -0700,2023-06-12 08:12:58 -0700,,"<p>You: ""looks like I need to create the new IMAP account"". </p><p>Yep. Looks like that to me, too. I don't know of a way to turn a POP account into an IMAP account. [That doesn't mean there <em>isn't</em> a way, it just means that I don't know of one (yet).] </p>",danawilson001,false,0,0
